#漢字	音標	解釋
巴	pa1	
爸	pa1	
疤	pa1	
芭	pa1	
把	pa3	
霸	pa5	
欛	pa5	
壩	pa5	
壩	pa5	
鈀	pʰa2	
耙	pʰa2	
爬	pʰa2	
杷	pʰa2	
琶	pʰa2	
怕	pʰa5	
帕	pʰa5	
罷	pʰa5	
馬	ma1	
媽	ma1	
碼	ma1	
螞	ma1	
麻	ma2	
痳	ma2	
駡	ma5	
花	fa1	
華	fa2	
鏵	fa2	
樺	fa2	
畫	fa3	
化	fa5	
劃	va1	
划	va1	
蛙	va1	
漥	va1	
話	va3	
打	ta3	
他	tʰa1	
拿	na2	
哪	na3	
那	na3	~个
喇	la1	
啦	la1	
罅	la5	
渣	tsa1	
抓	tsa1	
炸	tsa5	
詐	tsa5	
榨	tsa5	
乍	tsa5	
䖳	tsa5	
叉	tsʰa1	
杈	tsʰa1	
差	tsʰa1	
岔	tsʰa1	
茶	tsʰa2	
搽	tsʰa2	
査	tsʰa2	
沙	sa1	
紗	sa1	
灑	sa3	
洒	sa3	
耍	sa3	
遮	tʂa1	
者	tʂa3	
蔗	tʂa5	
車	tʂʰa1	
奢	tʂʰa1	
扯	tʂʰa3	
社	ʂa1	
賒	ʂa1	
佘	ʂa2	
蛇	ʂa2	
射	ʂa3	
捨	ʂa3	
麝	ʂa3	
舍	ʂa5	
捨	ʂa5	
家	ka1	
傢	ka1	
加	ka1	
痂	ka1	
嘉	ka1	
傢	ka1	
佳	ka1	
假	ka3	
賈	ka3	
假	ka3	~期
架	ka5	
駕	ka5	
嫁	ka5	
稼	ka5	
價	ka5	
卡	kʰa1	~车
卡	kʰa3	关~
雅	ŋa1	
伢	ŋa1	
砑	ŋa2	
芽	ŋa2	
衙	ŋa2	
牙	ŋa2	
瓦	ŋa3	
蝦	ha1	
哈	ha1	
霞	ha2	
瑕	ha2	
遐	ha2	
暇	ha2	
夏	ha3	
廈	ha3	
下	ha3	
鴉	a1	
丫	a1	
椏	a1	
阿	a1	
啞	a3	
亞	a5	
惹	ȵia1	
也	ia1	
野	ia1	
爺	ia2	
耶	ia3	
夜	ia3	
瓜	kua1	
寡	kua3	
剮	kua3	
掛	kua5	
挂	kua5	
卦	kua5	
誇	kʰua1	
侉	kʰua1	
垮	kʰua1	
跨	kʰua1	
擺	pai3	
襬	pai3	
敝	pai3	
拜	pai5	
排	pʰai2	
牌	pʰai2	
徘	pʰai2	
稗	pʰai3	
敗	pʰai3	
派	pʰai5	
買	mai1	
埋	mai2	
賣	mai3	
邁	mai3	
懷	fai2	
槐	fai2	
淮	fai2	
壞	fai3	
戴	tai5	
帶	tai5	
大	tʰai3	
馱	tʰai3	
太	tʰai5	
泰	tʰai5	
貸	tʰai5	
態	tʰai5	
乃	nai1	
奶	nai1	
那	nai3	~些
拉	lai1	
賴	lai5	
癩	lai5	
孻	lai5	
齊	tsai1	
債	tsai5	
釵	tsʰai1	
差	tsʰai1	
出	tsʰai1	
齣	tsʰai1	
猜	tsʰai1	
豺	tsʰai2	
柴	tsʰai2	
寨	tsʰai3	
踩	tsʰai3	
璽	sai3	
徙	sai3	
曬	sai5	
階	kai1	
皆	kai1	
楷	kai1	
稭	kai1	
佳	kai1	
街	kai1	
解	kai3	
介	kai5	
界	kai5	
芥	kai5	
尬	kai5	
戒	kai5	
疥	kai5	
屆	kai5	
傀	kʰai5	
𠊎	ŋai1	
艾	ŋai3	
涯	ŋai3	
捱	ŋai3	
崖	ŋai3	
刈	ŋai3	
揩	hai1	
孩	hai2	
駭	hai2	
諧	hai2	
懈	hai2	
械	hai3	
蟹	hai3	
解	hai3	姓
挨	ai1	
捱	ai1	
埃	ai1	
乖	kuai1	
拐	kuai3	
柺	kuai3	
怪	kuai5	
蒯	kʰuai3	
塊	kʰuai5	
快	kʰuai5	
筷	kʰuai5	
歪	uai1	
包	pau1	
胞	pau1	
鮑	pau1	
飽	pau3	
豹	pau5	
爆	pau5	
泡	pʰau1	
拋	pʰau1	
拋	pʰau1	
袍	pʰau2	
飽	pʰau2	
刨	pʰau2	
麅	pʰau2	
跑	pʰau2	
炮	pʰau5	
礮	pʰau5	
泡	pʰau5	~浸
卯	mau1	
矛	mau1	
茅	mau2	
錨	mau2	
貌	mau3	
鐃	nau2	
撓	nau2	
鬧	nau3	
撈	lau2	
嘮	lau2	
抓	tsau3	
爪	tsau3	
肘	tsau3	
帚	tsau3	
笊	tsau3	
罩	tsau5	
抄	tsʰau1	
鈔	tsʰau1	
巢	tsʰau2	
炒	tsʰau3	
吵	tsʰau3	
驟	tsʰau3	
梢	sau1	
捎	sau1	
稍	sau1	
消	sau5	
哨	sau5	
昭	tʂau1	
招	tʂau1	
朝	tʂau1	今~
照	tʂau5	
詔	tʂau5	
超	tʂ'au1	
潮	tʂʰau2	
朝	tʂʰau2	~代
趙	tʂʰau3	
兆	tʂʰau3	
召	tʂʰau3	
燒	ʂau1	
韶	ʂau2	
紹	ʂau2	
邵	ʂau2	
少	ʂau3	多~
少	ʂau5	~年
交	kau1	
郊	kau1	
敎	kau1	
絞	kau3	
狡	kau3	
鉸	kau3	
搞	kau3	
餃	kau3	
攪	kau3	
敎	kau5	
校	kau5	
較	kau5	
覺	kau5	
窖	kau5	
巧	kʰau3	
靠	kʰau5	
犒	kʰau5	
咬	ŋau1	
熬	ŋau2	
餚	ŋau3	
肴	ŋau3	
淆	ŋau3	
烤	hau1	
敲	hau1	
酵	hau1	
考	hau3	
孝	hau5	
效	hau5	
校	hau5	学~
凹	au5	
坳	au5	
標	piau1	
表	piau1	
錶	piau1	
彪	piau1	
表	piau3	
錶	piau3	
裱	piau3	
飄	pʰiau1	
漂	pʰiau1	
瓢	pʰiau2	
嫖	pʰiau2	
鰾	pʰiau2	
票	pʰiau5	
漂	pʰiau5	~亮
苗	miau2	
藐	miau2	
渺	miau2	
秒	miau2	
杳	miau2	~无音信
描	miau3	
廟	miau3	
妙	miau3	
貓	miau5	
刁	tiau1	
貂	tiau1	
雕	tiau1	
鵰	tiau1	
鳥	tiau1	
釣	tiau5	
弔	tiau5	
挑	tʰiau1	
條	tʰiau2	
調	tʰiau2	~和
掉	tʰiau3	
調	tʰiau3	音~
跳	tʰiau5	
糶	tʰiau5	
越	tʰiau5	
聊	liau2	
遼	liau2	
廖	liau2	
療	liau2	
燎	liau2	
撩	liau2	~事
廖	liau3	
瞭	liau3	
料	liau3	
了	liau3	~结
瞭	liau3	~结
燎	liau3	火~目眉
焦	tsiau1	
椒	tsiau1	
蕉	tsiau1	香~
沼	tsiau3	气~
醮	tsiau5	打~
鍬	tsʰiau1	
樵	tsʰiau2	
瞧	tsʰiau2	
瞧	tsʰiau3	牛倒~
俏	tsʰiau5	
悄	tsʰiau5	静~
消	siau1	
宵	siau1	
霄	siau1	
硝	siau1	
銷	siau1	
蕭	siau1	
簫	siau1	
小	siau3	
笑	siau5	
鞘	siau5	刀~
饒	ȵiau2	
橈	ȵiau2	
擾	ȵiau2	
堯	ȵiau2	
繞	ȵiau2	围~、~线
尿	ȵiau3	
驕	kiau1	
嬌	kiau1	
繳	kiau3	上~
矯	kiau3	~正
叫	kiau5	
喬	kʰiau2	
僑	kʰiau2	
橋	kʰiau2	
蕎	kʰiau2	
轎	kʰiau3	
竅	kʰiau5	
囂	hiau1	
枵	hiau1	
澆	hiau1	
僥	hiau1	~幸
曉	hiau3	
妖	iau1	
邀	iau1	
腰	iau1	
要	iau1	~求
麼	iau1	~二三
吆	iau1	~喝
搖	iau2	
搖	iau2	
謠	iau2	
窯	iau2	
姚	iau2	
耀	iau3	
鷂	iau3	
舀	iau3	~水
要	iau5	重~
洗	se3	
細	se5	
婿	se5	
計	ke5	
繼	ke5	
契	kʰe5	
系	he5	
係	he5	
繫	he5	
係	he5	
繫	he5	
爹	tie1	
鄒	tsie1	
姐	tsie3	
借	tsie5	
藉	tsie5	
邪	tsʰie2	
斜	tsʰie2	
且	tsʰie3	
謝	tsʰie3	
笪	tsʰie5	
些	sie1	
寫	sie3	
瀉	sie5	
卸	sie5	
赦	sie5	
勾	ȵie1	
鉤	ȵie1	
溝	ȵie1	
牛	ȵie2	
偶	ȵie3	
藕	ȵie3	
毅	ȵie5	
茄	kʰie2	
瘸	kʰie2	
杯	pei1	
盃	pei1	
悲	pei1	
弊	pei3	
幣	pei3	
斃	pei3	
貝	pei5	
輩	pei5	
胚	pʰei1	
坯	pʰei1	
披	pʰei1	
批	pʰei1	
培	pʰei2	
陪	pʰei2	
賠	pʰei2	
倍	pʰei2	
沛	pʰei5	
配	pʰei5	
佩	pʰei5	
背	pʰei5	~诵
揹	pʰei5	~诵
畝	mei1	
尾	mei1	
某	mei1	
畝	mei1	
謀	mei2	
昧	mei3	
寐	mei3	
味	mei3	
茂	mei3	
貿	mei3	
謬	mei5	
非	fei1	
飛	fei1	
妃	fei1	
揮	fei1	
輝	fei1	
徽	fei1	
回	fei2	
迴	fei2	
茴	fei2	
肥	fei2	
翡	fei2	
浮	fei2	
否	fei2	
剖	fei2	
匯	fei3	
彙	fei3	
吠	fei3	
匪	fei3	
榧	fei3	
阜	fei3	
疿	fei5	
費	fei5	
賄	fei5	
悔	fei5	
威	vei1	
煨	vei1	
喂	vei1	
餵	vei1	
違	vei2	
圍	vei2	
偉	vei2	
葦	vei2	
諱	vei2	
緯	vei3	
胃	vei3	
謂	vei3	
蝟	vei3	
未	vei3	
畏	vei5	
慰	vei5	
兜	tei1	
低	tei1	
底	tei3	
抵	tei3	
牴	tei3	
遞	tei3	
鬥	tei3	
斗	tei3	
抖	tei3	
陡	tei3	
糾	tei3	
鬥	tei5	~争
斗	tei5	~争
梯	tʰei1	
娣	tʰei1	
偸	tʰei1	
蹄	tʰei2	
啼	tʰei2	
頭	tʰei2	
投	tʰei2	
替	tʰei5	
涕	tʰei5	
剃	tʰei5	
屜	tʰei5	
屉	tʰei5	
透	tʰei5	
逗	tʰei5	
豆	tʰei5	
泥	nei2	
尼	nei2	
紐	nei3	
膩	nei3	
黎	lei2	
犁	lei2	
摟	lei2	
樓	lei2	
耬	lei2	
漏	lei3	
陋	lei3	
劑	tsei1	
擠	tsei1	
滯	tsei3	
走	tsei3	
奏	tsei5	
齊	tsʰei2	
薺	tsʰei2	
砌	tsʰei5	
湊	tsʰei5	
篩	sei1	
餿	sei1	
搜	sei1	
蒐	sei1	
愁	sei2	
洗	sei3	
細	sei5	
壻	sei5	
婿	sei5	
嗽	sei5	
瘦	sei5	
制	tʂei5	
製	tʂei5	
製	tʂei5	
逝	ʂei3	
誓	ʂei3	
世	ʂei5	
勢	ʂei5	
雞	kei1	
鳩	kei1	
狗	kei3	
苟	kei3	
夠	kei5	
够	kei5	
構	kei5	
購	kei5	
稽	kʰei1	
溪	kʰei1	
樞	kʰei1	
摳	kʰei1	
啓	kʰei3	
倶	kʰei3	
具	kʰei3	
吼	kʰei5	
叩	kʰei5	
寇	kʰei5	
危	ŋei2	
藝	ŋei3	
倪	ŋei3	
蟻	ŋei5	
靴	hei1	
厚	hei1	
侯	hei2	
喉	hei2	
猴	hei2	
瘊	hei2	
奚	hei3	
候	hei3	
兮	hei3	
口	hei3	
後	hei3	
后	hei3	
歐	ei1	
甌	ei1	
嘔	ei3	
毆	ei3	
矮	ei3	
漚	ei5	~肥
慪	ei5	~气
蜘	tʂʅ1	
支	tʂʅ1	
枝	tʂʅ1	
肢	tʂʅ1	
脂	tʂʅ1	
之	tʂʅ1	
芝	tʂʅ1	
輜	tʂʅ1	
匙	tʂʅ3	
紙	tʂʅ3	
只	tʂʅ3	
隻	tʂʅ3	
祇	tʂʅ3	
旨	tʂʅ3	
指	tʂʅ3	
痔	tʂʅ3	
止	tʂʅ3	
趾	tʂʅ3	
扯	tʂʅ3	
智	tʂʅ5	
致	tʂʅ5	
緻	tʂʅ5	
至	tʂʅ5	
置	tʂʅ5	
志	tʂʅ5	
誌	tʂʅ5	
誌	tʂʅ5	
痣	tʂʅ5	
癡	tʂʰʅ1	
嗤	tʂʰʅ1	
池	tʂʰʅ2	
馳	tʂʰʅ2	
雉	tʂʰʅ2	
持	tʂʰʅ2	
侍	tʂʰʅ2	
恥	tʂʰʅ3	
治	tʂʰʅ3	
齒	tʂʰʅ3	
始	tʂʰʅ3	
刺	tʂʰʅ3	
侈	tʂʰʅ3	
稚	tʂʰʅ3	
矢	tʂʰʅ3	
翅	tʂʰʅ5	
詩	ʂʅ1	
屍	ʂʅ1	
屍	ʂʅ1	
時	ʂʅ2	
鰣	ʂʅ2	
是	ʂʅ3	
氏	ʂʅ3	
豉	ʂʅ3	
屎	ʂʅ3	
示	ʂʅ3	
視	ʂʅ3	
嗜	ʂʅ5	
肄	ʂʅ5	
市	ʂʅ5	
試	ʂʅ5	
蓖	pi1	
碑	pi1	
卑	pi1	
比	pi3	
陛	pi3	
被	pi3	~打
蔽	pi5	
閉	pi5	
臂	pi5	
祕	pi5	
秘	pi5	
泌	pi5	
轡	pi5	
庇	pi5	
痺	pi5	
被	pʰi1	
皮	pʰi2	
疲	pʰi2	
脾	pʰi2	
婢	pʰi2	
彼	pʰi2	
俾	pʰi2	
枇	pʰi2	
琵	pʰi2	
算	pʰi3	
避	pʰi3	
鄙	pʰi3	
秕	pʰi3	
備	pʰi3	
鼻	pʰi3	
篦	pʰi3	
屁	pʰi5	
譬	pʰi5	
美	mi1	
謎	mi2	
迷	mi2	
靡	mi2	
眉	mi2	
楣	mi2	
微	mi2	
媚	mi2	
米	mi3	
知	ti1	
帝	ti5	
題	tʰi2	
堤	tʰi2	
提	tʰi2	
體	tʰi3	
弟	tʰi3	
隸	tʰi3	
隶	tʰi3	
禮	li1	
理	li1	
鯉	li1	
浬	li1	
離	li2	
离	li2	
籬	li2	
璃	li2	
梨	li2	
釐	li2	
厘	li2	
狸	li2	
裏	li2	
里	li2	
裡	li2	
利	li3	
痢	li3	
吏	li3	
李	li3	
豕	tsi3	
子	tsi3	
紫	tsi3	
祭	tsi5	
際	tsi5	
濟	tsi5	
妻	tsʰi1	
棲	tsʰi1	
雌	tsʰi1	
癡	tsʰi1	
臍	tsʰi2	
遲	tsʰi2	
鰭	tsʰi5	
西	si1	
犀	si1	
斯	si1	
撕	si1	
死	si3	
肆	si5	
四	si5	
柿	si5	
兒	ȵi2	
宜	ȵi2	
儀	ȵi2	
疑	ȵi2	
擬	ȵi2	
二	ȵi3	
爾	ȵi3	
尔	ȵi3	
貳	ȵi3	
你	ȵi3	
耳	ȵi3	
義	ȵi3	
議	ȵi3	
誼	ȵi3	
餌	ȵi3	
機	ki1	
飢	ki1	
饑	ki1	
肌	ki1	
基	ki1	
幾	ki1	茶~
几	ki1	茶~
譏	ki1	~笑
技	ki3	
妓	ki3	
忌	ki3	
幾	ki3	~多
几	ki3	~多
紀	ki3	~念
髻	ki5	
寄	ki5	
己	ki5	
記	ki5	
既	ki5	
沂	kʰi2	
奇	kʰi2	
騎	kʰi2	
歧	kʰi2	
祁	kʰi2	
其	kʰi2	
棋	kʰi2	
琪	kʰi2	
期	kʰi2	
旗	kʰi2	
祈	kʰi2	
冀	kʰi5	
企	kʰi5	
犧	hi1	
欺	hi1	
煕	hi1	
嬉	hi1	
希	hi1	
稀	hi1	
起	hi3	
杞	hi3	
喜	hi3	
豈	hi3	
戲	hi5	
器	hi5	
棄	hi5	
弃	hi5	
氣	hi5	
气	hi5	
汽	hi5	
醫	i1	
伊	i1	
衣	i1	
依	i1	
縊	i1	
侈	i2	
移	i2	
夷	i2	
姨	i2	
而	i2	
飴	i2	
綺	i3	
倚	i3	
椅	i3	
矣	i3	
已	i3	
以	i3	
易	i3	
異	i3	
异	i3	
意	i5	
丟	tiu1	
□	tʰiu5	脱掉的意思
朽	niu2	
扭	niu3	
溜	liu1	
劉	liu2	
流	liu2	
留	liu2	
琉	liu2	
