#漢字	音標	解釋
多	tɔ1a	～少
拖	tʰɔ1a	～拉机
他	tʰa1a	其～
駝	tʰɔ2	骆～
大	tʰai3	～夫，～黄
挪	nɔ2	～用公款
哪	nai3	～里
哪	na2	～吒
那	nai3	～里；姓
羅	lɔ2	姓
鑼	lɔ2	～鼓
籮	lɔ2	～筐
左	ʦɔ3	～右
佐	ʦɔ3	辅～
歌	kɔ1a	唱～，～声
哥	kɔ1b	大～，学生～
個	kɔ5	两～，～别
個	kai5	我～（我的）
可	hɔ3	～能，许～证
蛾	ŋɔ2	飞～扑火
鵝	ŋɔ1b	天～
俄	ŋɔ2	～罗斯
我	ŋɔ2	自～[文]
我	ŋai2	涯，第一人称[白]
餓	ŋɔ3	饥～
荷	hɔ2	～花；薄～
荷	hɔ2	挑，～担，～东西[白]
河	hɔ2	黄～
何	hɔ2	姓；如～
賀	hɔ3	祝～，～礼
阿	ʔa1a	～爸
茄	kʰɛ2	茄子；番～
茄	ka1a	雪～
波	pɔ1a	风～，～浪
菠	pɔ1b	～菜
跛	pɛ1a	～脚（跛足）[训]
簸	pɔi5	～箕甲（蛇），～谷
簸	pʰɔ1a	颠～
坡	pʰɔ1a	山～，～度
玻	pɔ1a	～璃
破	pʰɔ5	～坏
婆	pʰɔ2	老～
薄	pʰɔk8a	～荷
魔	mɔ1b	～术，～鬼
磨	mɔ2	～刀，水～[动]
磨	mɔ2	～豆浆[动]
摩	mɔ1b	～擦，按～
磨	mɔ2	石～[名]
朶	tɔ3	一～花，花～
躱	tɔ3	～避，～开
刴	tiɔk7	～猪肉，～肉丸[训]
妥	tʰɔ5	～当
橢	tʰɔ3	～圆
唾	sui2	～弃，～液
惰	ʦʰui2	～性
糯	nɔ3	～米
騾	lɔ2	骡
螺	lɔ2	田～
腡	lɔ2	手指纹
囉	lɔ1a	喽～，～嗦
裸	lɔ3	～体
銼	ʦʰɔ5	～刀
坐	ʦʰɔ1a	～车，～稳
座	ʦʰɔ3	～位，上～
梭	ɬɔ1a	穿～，～子蟹
唆	sɔ1a	～使
鎖	ɬɔ3	～匙
瑣	ɬɔ3	～碎，烦～
戈	kʰɔ1a	干～，～壁
果	kɔ3	水～
裹	kɔ3	包～
過	kɔ5	～去，～头
科	fɔ1a	～学，文～
棵	hɔ1b	一～树
顆	fɔ3	一～珍珠，～粒
課	fɔ5	上～
臥	ŋɔ3	～室，～铺
火	fɔ3	着～，～车
夥	fɔ3	合～，～计
貨	fɔ5	～车，百～
和	fɔ2	～平[文]
和	vɔ2	～尚[白]
禾	vɔ2	割～，～苗
禍	vɔ3	大～临头，～害
和	fɔ2	唱～，～诗
倭	vɔ1a	～寇
窩	vɔ1a	～囊废，～藏
靴	hɛ1b	皮～
巴	pa1a	～掌，～结，～黎
芭	pa1a	～蕉，～蕾
疤	pa1a	伤～
把	pa3	～握，～脉
壩	pa5	堤，溪～
吧	pa1b	酒～
垻	pa5	平地，湖洋～
爸	pa1a	爸爸
怕	pʰa5	害怕，惊～
帕	pʰɐk8a	手～
爬	pʰa2	～树
琶	pʰa2	琵～
杷	pʰa2	枇～
耙	pʰa2	犁耙
麻	ma2	天～，～烦
痲	ma2	出～（得痳疹），～风
蟆	mɔ1b	蛤～（蟾蜍）
媽	ma1b	妈妈
媽	ma1b	～祖
馬	ma1a	骑～，～虎
碼	ma1a	～头，大～
罵	ma5	～人
茶	ʦʰa2	～叶
楂	ʦa1a	山～
渣	ʦa1a	药～
詐	ʦa5	～骗
榨	ʦa5	～菜，～油
炸	ʦa5	～药
叉	ʦʰa1b	刀～，～腰
杈	ʦʰa1b	桠～，树～
差	ʦʰa1a	～别
岔	ʦʰa5	～路
査	ʦʰa2	调～
沙	ɬa1a	泥～，～漠
紗	ɬa1a	～布
灑	ɬɐm2	～水
廈	ha3	偏廈（厢房）
痧	ɬa1a	发～，刮～
家	ka1a	老～，～庭
砂	ɬa1a	朱～，～纸
加	ka1a	～工
□	pa1a	結痂
嘉	ka1a	～宾
假	ka3	真～，～设
賈	ka3	姓，～宝玉
假	ka3	放～，～期
架	ka5	书～
駕	ka5	～驶证
嫁	ka5	～人
稼	ka5	庄～，邓～先
揢	nian3	用虎口掐
牙	ŋa2	～齿，刷～
芽	ŋa2	豆～
衙	ŋa2	～门
雅	ŋa3	文～；～典（国名）
砑	ŋian2	碾，～平，～碎
蝦	ha1b	鱼～，～公
嚇	hæk8a	～人
霞	ha3	晚～
瑕	pʰa3	～疵
蝦	ha1b	～蟆（蟾蜍）
下	ha3	～背，底～
下	ha1a	取下，～下来
夏	ha3	姓
廈	ha3	～门，大～
下	ha3	～降，～流
夏	ha3	春～秋冬
鴉	ʔa1a	老～，乌～，～片
丫	ʔa1b	～鬟，～头
椏	ʔa1a	～杈
啞	ʔa3	哑巴，～佬
亞	ʔa1a	～洲，～军
姐	ʦia3	小～[文]
姐	ʦia3	姐姐[白]
借	ʦia5	～钱
且	ʦʰia3	而～，况～
笡	ʦʰia5	斜，～～（歪斜的样子）
藉	ʦia5	～故，～口
□	tiɐt7	一些
寫	ɬia3	～字
瀉	ɬɛ5	腹～，一～千里
卸	ɬɛ5	～货，推～
邪	ʦʰia1a	～气，～门歪道
斜	ʦʰia1a	倾～[文]
斜	ʦʰia1b	不正[白]
謝	ʦʰia3	多～；姓
爹	tɛ1a	～娘
遮	ʦa1a	遮挡[动]；伞[名]
者	ʦia3	记～，作～
蔗	ʦa5	甘蔗
車	ʦʰa1a	火～
扯	ʦʰa3	～开，～烂
蛇	sa2	毒～
射	sa3	发～，～箭
麝	sa3	～香
賒	sa1a	～帐
捨	sa3	～唔得（舍不得）
赦	sa5	～免
舍	sa5	宿～
社	sa1a	～会，公～
惹	ja1a	～事
耶	jai2	～稣
爺	ja2	父亲；爷爷[文]
也	ja5	～知
野	ja1a	～人
夜	ja3	日～，～班
傻	sɔ2	～瓜，～子
瓜	ka1a	西～，～分
蝸	vɔ1a	～牛
寡	ka3	～妇，守～
剮	kɔk8a	千刀万～
誇	kʰa1a	～大，～张
垮	kʰa1a	～台
跨	kʰa1a	～栏，～度
娃	va1a	洋～～
瓦	ŋa3	～片
花	fa1a	开～
化	fa5	变～
華	fa2	中～
劃	vɐt8a	～船
華	fa2	～山；姓
蛙	va1a	青～，～泳
補	pu3	～鞋，～充
譜	pʰu3	族～，歌～
布	pu5	红～，～料
佈	pu5	公～，～置
鋪	pʰu1a	～路，床～
普	pʰu3	～通，～遍
浦	pʰu3	黄～江
鋪	pʰu5	店～，当～
怖	pu5	恐～
蒲	fok8a	（石）菖～
菩	pʰɔ2	～萨
部	pʰu3	～队，干～
簿	pʰu3	练习～，帐～
步	pʰu3	跑～
捕	pʰu3	逮～，～快
埠	fɐi3	开～
埠	fɐi3	庵～，蚌～（地名）
模	mɔ2	～型，～范
摹	mɔ2	～仿，描～
暮	mu5	日暮
慕	mu5	羡～，～名而来
墓	mu5	坟～，～地
募	mu5	～捐
都	tu1a	首～，～市
都	tu1a	都是
堵	ɬɐt7	～车，～塞
賭	tu3	～博
肚	tu3	猪～，鱼～
妒	ki5	～忌
土	tʰu3	～地
吐	tʰɔ5	～痰；呕～
兔	tʰu5	野～
徒	tʰu2	～弟
屠	tʰɔ2	～杀
途	tʰu2	前～
塗	tʰu2	糊～，～改
圖	tʰu2	画～，地～
杜	tʰu3	姓；杜仲（中药）
肚	tʰu3	肚子
度	tʰu3	～数，长～
渡	tʰu3	偷～，摆～
鍍	tʰu3	电～
奴	nu2	～隶
努	nu3	～力
怒	nu5	愤～，～气
盧	lu2	姓
爐	lu2	火～
蘆	lu2	～苇
鸕	lu2	～鹚（扁嘴善捕鱼的水鸟）
魯	lɔ3	～国，～迅
虜	lɔ3	俘～
滷	lɔ3	盐～，～水
路	lu3	大～
賂	lu3	贿～
露	lu5	～水，白～，打～
鷺	lu5	白～
租	ʦu1a	～金，出～
祖	ʦu3	～宗，～国
組	ʦu3	～织，小～
做	ʦɔ5	～好事
粗	ʦʰu1a	～心
醋	ʦʰu5	陈～
措	ʦʰu5	～施
錯	ʦʰɔ5	～误
蘇	ɬu1a	～州；姓
酥	ɬu1b	脆，杏仁～
素	ɬu5	～菜，朴～
訴	ɬu5	上～，倾～
塑	ɬɔk8a	雕～，～料
姑	ku1a	大～
孤	ku1a	～儿，～单
箍	kʰu1a	紧～咒[文]
□	fɔk8a	围束，箍桶[白]
古	ku3	～代
估	kʰu1a	～计
牯	ku3	牛～
股	ku3	～票
鼓	ku3	锣～，～励
故	ku5	～事，～乡
蠱	ku3	养～，～惑
固	ku5	～定
錮	ku5	禁～
雇	ku5	～人，～主
顧	ku5	照～
枯	kʰu1a	干～，～水
苦	fu3	辛～，食～（吃苦）
苦	fu3	～味
庫	fu5	水～，仓～
褲	fu5	裤子
吳	ʔŋ̍2	姓
蜈	ʔŋ̍2	～蚣
梧	ʔŋ̍2	～桐
五	ʔŋ̍3	数字
伍	ʔŋ̍3	姓；队～
午	ʔŋ̍3	中～，端～
誤	ʔŋ̍3	～会，错～
悟	ʔŋ̍3	觉～；孙～空
呼	fu1a	称～，～吸，招～
虎	fu3	老～
虎	fu1a	马～
滸	fu3	水～
戽	fu5	～水（泼水），～斗
胡	fu2	二～ ；姓
湖	fu2	西～
狐	fu2	～狸
壺	fu2	水～
乎	fu2	在～
瓠	pʰu2	瓠卢，同葫芦
鬍	fu2	～须
蝴	fu2	～蝶
糊	fu2	浆～，～涂
戶	fu3	～口
滬	lu2	上海简称
互	fu5	～相
護	fu5	保～，～士
瓠	fu2	瓠瓜（味似葫芦而长）
烏	vu1a	黑
污	vu1a	～染
塢	vu1a	船～
惡	vu5	可～
女	ȵy3	女人
廬	lu2	～山
驢	lu2	毛驴
呂	ly1a	姓
旅	ly1a	～游
慮	lui3	考～
濾	lui3	过～
蛆	ʦʰui1a	蛆虫，生～
絮	ɬui5	棉～
徐	ʦʰy2	姓
序	ʦʰui3	顺～
敍	ʦʰui3	倒～
緖	sui5	情～；光～
豬	ʦy1a	～肉
著	ʦy5	～名，显～
除	ʦʰy2	～法
儲	ʦʰy3	～蓄
箸	ʦʰy3	筷子
阻	ʦɔ3	～止，～力
初	ʦʰɔ1a	当～，～中
礎	ʦʰɔ3	基～
鋤	ʦʰɔ3	～草，～禾日当午
助	ʦʰɔ3	帮～
梳	ɬɔ1a	梳子[名]；梳头[动]
疏	ɬɔ1a	～远；稀疏
疏	ɬɔ1a	生～
蔬	ɬɔ1a	～菜
所	ɬɔ3	～以；派出～
疏	ɬɔ1a	注～
諸	ʦy1a	姓；～如此类
煮	ʦy3	～饭
處	ʦʰy5	～理
處	ʦʰy5	～所
書	sy1a	读～
舒	sy1a	～服
暑	sy3	～假
鼠	sy3	老～
庶	sa5	～民
署	sy3	～名
薯	sy2	番～
如	ȵy2	～果，假～
居	ky1a	～民
車	ky1a	象棋，～马炮
舉	ky3	～报，～重
據	ky5	收～
鋸	ky5	电～
鬧	nau3	～日：墟日
去	si5	来～，过～
渠	kʰy3	水～，～道
佢	kʰy3	他，第三人称
巨	kʰy3	～大
拒	kʰy3	～绝
距	kʰy3	～离
魚	ȵy2	金～
漁	ȵy2	～业，～夫
