#漢字	音標	解釋	繁簡
壩	pa⁵²		簡
鈀	pʰa³⁵		簡
罷	pʰa⁵²		簡
馬	ma⁵⁵		簡
媽	ma⁵⁵		簡
碼	ma⁵⁵		簡
螞	ma⁵⁵		簡
駡	ma⁵²		簡
華	fa³⁵		簡
鏵	fa³⁵		簡
樺	fa³⁵		簡
畫	fa³¹		簡
劃	va⁵⁵		簡
話	va³¹		簡
詐	tsa⁵²		簡
査	tsʰa³⁵		簡
紗	sa⁵⁵		簡
灑	sa³¹		簡
車	tʂʰa⁵⁵		簡
賒	ʂa⁵⁵		簡
捨	ʂa⁵²		簡
傢	ka⁵⁵		簡
賈	ka³¹		簡
駕	ka⁵²		簡
價	ka⁵²		簡
廈	ha³¹		簡
鴉	a⁵⁵		簡
椏	a⁵⁵		簡
啞	a³¹		簡
亞	a⁵²		簡
爺	ia³⁵		簡
剮	kua³¹		簡
掛	kua⁵²		簡
擺	pai³¹		簡
襬	pai³¹		簡
敗	pʰai³¹		簡
買	mai⁵⁵		簡
賣	mai³¹		簡
邁	mai³¹		簡
懷	fai³⁵		簡
壞	fai³¹		簡
帶	tai⁵²		簡
馱	tʰai³¹		簡
貸	tʰai⁵²		簡
態	tʰai⁵²		簡
賴	lai⁵²		簡
癩	lai⁵²		簡
齊	tsai⁵⁵		簡
債	tsai⁵²		簡
釵	tsʰai⁵⁵		簡
齣	tsʰai⁵⁵		簡
璽	sai³¹		簡
曬	sai⁵²		簡
階	kai⁵⁵		簡
屆	kai⁵²		簡
駭	hai³⁵		簡
諧	hai³⁵		簡
捱	ai⁵⁵		簡
柺	kuai³¹		簡
塊	kʰuai⁵²		簡
鮑	pau⁵⁵		簡
飽	pau³¹		簡
拋	pʰau⁵⁵		簡
拋	pʰau⁵⁵		簡
飽	pʰau³⁵		簡
錨	mau³⁵		簡
鐃	nau³⁵		簡
撓	nau³⁵		簡
鬧	nau³¹		簡
撈	lau³⁵		簡
嘮	lau³⁵		簡
鈔	tsʰau⁵⁵		簡
驟	tsʰau³¹		簡
詔	tʂau⁵²		簡
趙	tʂʰau³¹		簡
燒	ʂau⁵⁵		簡
紹	ʂau³⁵		簡
敎	kau⁵⁵		簡
絞	kau³¹		簡
鉸	kau³¹		簡
餃	kau³¹		簡
攪	kau³¹		簡
敎	kau⁵²		簡
較	kau⁵²		簡
覺	kau⁵²		簡
