id	ini	fn	pt	漢字_程序改名	ipa调类	IPA_程序改名	注釋_程序改名	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	ɔ	184
1	t	ɔ	33	多	tɔ33	tɔ1	～少	2					ai	88
2	tsʰ	ɔ	33	拖	tsʰɔ33	tsʰɔ1	～拉机	3					a	112
4	tʰ	ɔ	25	駝	tʰɔ25	tʰɔ9	骆～	2					i	334
5	tʰ	ɔ	25	舵	tʰɔ25	tʰɔ9	～手	2					ia	12
6	tʰ	ai	31	大	tʰai31	tʰai3	～夫，～黄	5					am	43
7	n	a	25	挪	na25	na9	～用公款	4					iœ	3
8	n	ai	25	哪	nai25	nai9	～里	2					ɛ	56
10	t	i	25	那	ti25	ti9	白读	2					ɔk	80
11	l	ɔ	25	羅	lɔ25	lɔ9	姓	1					ɔŋ	43
12	l	ɔ	25	鑼	lɔ25	lɔ9	～鼓	2					an	188
13	l	ɔ	25	箩	lɔ25	lɔ9	～筐	2					ɐi	169
15	k	ia	33	□	kia33	kia1	辅佐	2					ɐm	45
16	k	ɔ	33	歌	kɔ33	kɔ1	唱～，～声	5					ɐŋ	1
17	k	ɔ	451	哥	kɔ451	kɔ5	大～，学生～	6					ɐn	393
19	k	ai	451	個	kai451	kai5	我～（我的）	6					ian	173
20	h	ɔ	31	可	hɔ31	hɔ3	～能，许～证	6					æk	79
21	ŋ	ɔ	25	蛾	ŋɔ25	ŋɔ9	飞～扑火	4					ɪt	2
22	ŋ	ɔ	25	鵝	ŋɔ25	ŋɔ9	天～	2					ɐt	187
23	ŋ	ɔ	25	俄	ŋɔ25	ŋɔ9	～罗斯	3					ɛt	1
24	ŋ	ɔ	33	我	ŋɔ33	ŋɔ1	自～[文]	5					0	0
25	ŋ	ai	25	我	ŋai25	ŋai9	涯，第一人称[白]	9					ua	8
26	ŋ	ɔ	31	餓	ŋɔ31	ŋɔ3	饥～	2					u	160
27	h	ɔ	25	荷	hɔ25	hɔ9	～花；薄～	5					ŋ̍	9
28	t	am	33	担	tam33	tam1	挑，～担，～东西[白]	11					iɛu	4
29	h	ɔ	25	河	hɔ25	hɔ9	黄～	2					ə	48
30	h	ɔ	25	何	hɔ25	hɔ9	姓；如～	4					eŋ	25
31	h	ɔ	31	賀	hɔ31	hɔ3	祝～，～礼	5					ok	86
32		ɔ	33	阿	ɔ33	ʔɔ1	～胶；～弥陀佛	7					ui	64
33		a	33	阿	a33	ʔa1	～爸	2					ɔi	72
34	kʰ	iœ	25	茄	kʰiœ25	kʰiœ9	茄子；番～	5					iam	16
35	kʰ	iœ	25	茄	kʰiœ25	kʰiœ9	雪～	2					uai	6
36	p	ɔ	33	波	pɔ33	pɔ1	风～，～浪	5					uɐi	3
37	p	ɔ	33	菠	pɔ33	pɔ1	～菜	2					au	112
38	p	ɛ	33	跛	pɛ33	pɛ1	～脚（跛足）[训]	9					ɐu	23
39	p	ɔ	451	簸	pɔ451	pɔ5	～箕甲（蛇），～谷	9					iau	87
40	p	ɔ	451	簸	pɔ451	pɔ5	颠～	2					ɐp	19
42	pʰ	ɔ	33	坡	pʰɔ33	pʰɔ1	山～，～度	5					əu	55
