#漢字	音標	解釋	繁簡
備	pi6		簡
祕	ɓi5		簡
彌	mi2		簡
瀰	mi2		簡
廝	fi1		簡
俬	fi1		簡
絲	fi1		簡
餈	fi2		簡
辭	fi2		簡
詞	fi2		簡
飼	fi6		簡
資	ti1		簡
諮	ti1		簡
茲	ti1		簡
賜	tʰi5		簡
廁	tʰi5		簡
擬	ni3		簡
膩	ni6		簡
籬	li2		簡
離	li2		簡
釐	li2		簡
裏	li4	一~路	簡
裡	li4	一~路	簡
鯉	li4		簡
梔	tsi1		簡
紙	tsi3		簡
隻	tsi3	~有	簡
祇	tsi3	~有	簡
緻	tsi5		簡
誌	tsi5		簡
癡	tsʰi1		簡
恥	tsʰi3		簡
齒	tsʰi3		簡
兒	ȵi1		簡
議	ȵi3		簡
爾	ȵi4		簡
誼	ȵi6		簡
貳	ȵi6		簡
餌	ȵi6		簡
師	si1		簡
獅	si1		簡
屍	si1		簡
詩	si1		簡
馳	si2		簡
遲	si2		簡
時	si2		簡
駛	si3		簡
試	si5		簡
視	si6		簡
飢	ki1		簡
饑	ki1		簡
幾	ki1	~乎	簡
幾	ki1	~乎	簡
機	ki1		簡
譏	ki1		簡
騎	ki2		簡
紀	ki3		簡
幾	ki3	~个	簡
記	ki5		簡
鰭	ki6		簡
犧	hi1		簡
煕	hi1		簡
豈	hi3		簡
戲	hi5		簡
棄	hi5		簡
氣	hi5		簡
醫	∅i1		簡
儀	∅i2		簡
義	∅i6		簡
異	∅i6		簡
鋪	pʰu1	~设	簡
譜	pʰu3		簡
鋪	pʰu5	店~	簡
補	ɓu3		簡
寶	ɓu3		簡
佈	ɓu5		簡
報	ɓu5		簡
無	mu2		簡
鵡	mu4		簡
務	mu6		簡
霧	mu6		簡
蘇	fu1		簡
甦	fu1		簡
囌	fu1		簡
騷	fu1		簡
撫	fu3		簡
輔	fu3		簡
婦	fu4		簡
訴	fu5		簡
庫	fu5		簡
掃	fu5		簡
賦	fu6		簡
訃	fu6		簡
負	fu6		簡
塗	tu2		簡
圖	tu2		簡
濤	tu2		簡
組	tu3		簡
棗	tu3		簡
導	tu4		簡
竈	tu5		簡
鍍	tu6		簡
盜	tu6		簡
討	tʰu3		簡
賭	ɗu3		簡
禱	ɗu3		簡
島	ɗu3		簡
盧	lu2		簡
爐	lu2		簡
蘆	lu2		簡
鸕	lu2		簡
廬	lu2		簡
勞	lu2		簡
嘮	lu2		簡
魯	lu4		簡
櫓	lu4		簡
虜	lu4		簡
滷	lu4		簡
鹵	lu4		簡
賂	lu6		簡
鷺	lu6		簡
髙	ku1		簡
錮	ku5		簡
僱	ku5		簡
顧	ku5		簡
吿	ku5		簡
烏	∅u1		簡
塢	∅u1		簡
伕	∅u1		簡
膚	∅u1		簡
誣	∅u1		簡
鬍	∅u2		簡
衚	∅u2		簡
壺	∅u2		簡
滸	∅u3		簡
戶	∅u4		簡
滬	∅u4		簡
褲	∅u5		簡
奧	∅u5		簡
護	∅u6		簡
惡	∅u6	恨，可~	簡
噁	∅u6	恨，可~	簡
號	∅u6	~数	簡
號	∅u6	~数	簡
須	fy1		簡
鬚	fy1		簡
儲	fy4		簡
敍	fy4		簡
緖	fy4		簡
趨	ty1		簡
驢	ly2		簡
裏	ly3	~面	簡
裡	ly3	~面	簡
呂	ly4		簡
呂	ly4		簡
縷	ly4		簡
屢	ly4		簡
裏	ly4		簡
裡	ly4		簡
慮	ly6		簡
濾	ly6		簡
豬	tsy1		簡
諸	tsy1		簡
誅	tsy1		簡
硃	tsy1		簡
駐	tsy5		簡
註	tsy5		簡
鑄	tsy5		簡
處	tsʰy5	~所	簡
處	tsʰy5	~所	簡
魚	ȵy2		簡
漁	ȵy2		簡
語	ȵy4		簡
書	sy1		簡
輸	sy1		簡
廚	sy2		簡
數	sy3	动词	簡
豎	sy4		簡
數	sy5	名词	簡
樹	sy6		簡
車	ky1	~马炮	簡
舉	ky3		簡
榘	ky3		簡
鉅	ky4		簡
據	ky4		簡
鋸	ky5		簡
倶	ky6		簡
懼	ky6		簡
樞	kʰy1		簡
駒	kʰy1		簡
區	kʰy1		簡
驅	kʰy1		簡
虛	hy1		簡
噓	hy1		簡
籲	hy1		簡
許	hy3		簡
於	∅y1		簡
餘	∅y2		簡
餘	∅y2		簡
楡	∅y2		簡
與	∅y4		簡
馭	∅y6		簡
禦	∅y6		簡
譽	∅y6		簡
預	∅y6		簡
娛	∅y6		簡
癒	∅y6		簡
喩	∅y6		簡
鈀	pa2		簡
壩	ɓa5		簡
