#漢字	音標	解釋	繁簡
開	fi1		簡
凱	fi3		簡
迴	wi2		簡
藹	wi3		簡
愛	wi5		簡
礙	wi5		簡
匯	wi5	～报	簡
彙	wi5	～报	簡
會	wi5	～议	簡
會	wi5	～不～	簡
會	wi5	～计	簡
紙	tʃi3		簡
隻	tʃi3	～有	簡
祇	tʃi3	～有	簡
緻	tʃi5		簡
誌	tʃi5		簡
癡	tʃʰi1		簡
馳	tʃʰi2		簡
遲	tʃʰi2		簡
齒	tʃʰi3		簡
恥	tʃʰi3		簡
師	ʃi1		簡
屍	ʃi1		簡
詩	ʃi1		簡
時	ʃi2		簡
駛	ʃi3		簡
視	ʃi5		簡
試	ʃi5		簡
醫	ji1		簡
兒	ji2		簡
誼	ji2		簡
儀	ji2		簡
飴	ji2		簡
擬	ji4		簡
爾	ji4		簡
義	ji5		簡
議	ji5		簡
異	ji5		簡
貳	ji5		簡
蓋	kʷi5	瓶～	簡
該	kʰʷi1	应～	簡
蓋	kʰʷi3	～：盖子	簡
賄	kʰʷi3		簡
潰	kʰʷi3		簡
劊	kʰʷi5		簡
檜	kʰʷi5		簡
繪	kʰʷi5		簡
伕	fu1		簡
膚	fu1		簡
麩	fu1		簡
壺	fu2		簡
鬍	fu2	～子	簡
衚	fu2	～子	簡
撫	fu3		簡
庫	fu5		簡
褲	fu5		簡
戶	fu5		簡
滬	fu5		簡
護	fu5		簡
輔	fu5		簡
賦	fu5		簡
婦	fu5	文	簡
負	fu5		簡
鬍	fu9a	二～	簡
衚	fu9a	二～	簡
烏	wu1		簡
塢	wu1		簡
惡	wu5	可～	簡
噁	wu5	可～	簡
蠱	kʷu3		簡
僱	kʷu5		簡
顧	kʷu5		簡
豬	tʃy1		簡
諸	tʃy1		簡
硃	tʃy1	～砂	簡
硃	tʃy1	姓氏	簡
誅	tʃy1		簡
註	tʃy5		簡
駐	tʃy5		簡
鑄	tʃy5		簡
廚	tʃʰy2		簡
處	tʃʰy3	～理	簡
儲	tʃʰy4		簡
處	tʃʰy5	～所	簡
書	ʃy1		簡
樞	ʃy1		簡
輸	ʃy1	～赢	簡
輸	ʃy1	运～	簡
樹	ʃy5	～木	簡
豎	ʃy5		簡
於	jy1	在～	簡
於	jy1	姓氏	簡
魚	jy2		簡
漁	jy2		簡
餘	jy2		簡
餘	jy2	多～	簡
娛	jy2		簡
楡	jy2		簡
語	jy4		簡
與	jy4		簡
預	jy4	又	簡
譽	jy5		簡
預	jy5	又	簡
禦	jy5	～用	簡
禦	jy5	驾～	簡
癒	jy5		簡
喩	jy5		簡
壩	pa5		簡
罷	pa5		簡
馬	ma4		簡
碼	ma4		簡
駡	ma5		簡
媽	ma9a		簡
窪	wa1		簡
華	wa2	～山	簡
華	wa2	中～	簡
樺	wa2		簡
話	wa5		簡
畫	wa9b		簡
詐	tʃa5		簡
査	tʃʰa2		簡
紗	ʃa1		簡
灑	ʃa3	潇～	簡
傢	ka1		簡
賈	ka3		簡
駕	ka5		簡
價	ka5		簡
鴿	ka5		簡
腫	ka5		簡
夾	ka5	～纳	簡
亞	ŋa1	～洲	簡
鴉	ŋa1		簡
啞	ŋa3		簡
鴨	ŋa5		簡
亞	ŋa5	～军	簡
蝦	ha1	鱼～	簡
蝦	ha1	～蟆	簡
廈	ha5	～门	簡
廈	ha5	高楼大～	簡
剮	kʷa3		簡
掛	kʷa5	又	簡
誇	kʰʷa1		簡
掛	kʰʷa5	又	簡
發	fɛ4	头～	簡
髮	fɛ4	头～	簡
發	fɛ4	～财	簡
髮	fɛ4	～财	簡
紮	tʃɛ4		簡
軋	tʃɛ4		簡
責	tʃɛ4		簡
冊	tʃʰɛ4		簡
薩	ʃɛ4		簡
殺	ʃɛ4		簡
壓	ŋɛ4		簡
軛	ŋɛ4		簡
嚇	hɛ4	恐～	簡
