字序	漢字_程序改名	Unnamed: 2	聲母	韻母	調值	調類	聲母.1	Unnamed: 8	韻母.1	Unnamed: 10	調類.1	Unnamed: 12	粵拼_程序改名	注釋_程序改名	声母	韵母	音调	韵腹	韵尾	声母IPA	韵腹IPA	韵尾IPA	音调IPA	IPA_程序改名	注释_add
1	阿	6587	0/0	a/ɔ	32/53	陰去/陰平	0	0	aa	o	3	1	aa3/o1	阿哥。<br />阿膠		aa/o	3/1	aa/o		ʔ	a/ɔ		3/1	ʔa3/ʔɔ1	
2	哀	3603	0	ɔi	53	陰平	0		oi		1		oi1			oi	1	o	i	ʔ	ɔ	i	1	ʔɔi1	
3	埃	3604	0	ai	53	陰平	0		aai		1		aai1	塵埃。		aai	1	aa	i	ʔ	a	i	1	ʔai1	
4	矮	11296	0	ɐi	24	陰上	0		ai		2		ai2			ai	2	a	i	ʔ	ɐ	i	2	ʔɐi2	
5	藹	16558	0	ɔi	24	陰上	0		oi		2		oi2	和藹。		oi	2	o	i	ʔ	ɔ	i	2	ʔɔi2	
6	艾	16555	0	ai	21	陽去	ng		aai		6		ngaai6		ng	aai	6	aa	i	ŋ	a	i	6	ŋai6	
7	隘	16727	0	ai	32	陰去	0		aai		3		aai3			aai	3	aa	i	ʔ	a	i	3	ʔai3	
8	愛	17106	0	ɔi	53	陰平	0		oi		1		oi1			oi	1	o	i	ʔ	ɔ	i	1	ʔɔi1	
9	礙	17099	0	ɔi	21	陽去	ng		oi		6		ngoi6		ng	oi	6	o	i	ŋ	ɔ	i	6	ŋɔi6	
10	安	4655	0	ɔn	53	陰平	0		on		1		on1			on	1	o	n	ʔ	ɔ	n	1	ʔɔn1	
11	庵	9330	0	om	55	陰平	0		om		1		om1			om	1	o	m	ʔ	ɔ	m	1	ʔɔm1	
12	鞍	4657	0	ɔn	53	陰平	0		on		1		on1			on	1	o	n	ʔ	ɔ	n	1	ʔɔn1	
13	揞	14295	0	ɐm	24	陰上	0		am		2		am2	揞住。		am	2	a	m	ʔ	ɐ	m	2	ʔɐm2	
14	岸	17679	0	ɔn	21	陽去	ng		on		6		ngon6		ng	on	6	o	n	ŋ	ɔ	n	6	ŋɔn6	
15	按	17645	0	ɔn	32	陰去	0		on		3		on3			on	3	o	n	ʔ	ɔ	n	3	ʔɔn3	
16	案	17646	0	ɔn	32	陰去	0		on		3		on3			on	3	o	n	ʔ	ɔ	n	3	ʔɔn3	
17	暗	19831	0	om	32	陰去	0		om		3		om3			om	3	o	m	ʔ	ɔ	m	3	ʔɔm3	
18	昂	7571	0	ɔŋ	42	陽平	ng		ong		4		ngong4		ng	ong	4	o	ng	ŋ	ɔ	ŋ	4	ŋɔŋ4	
19	熬	6405	0/0	au/ou	42/42	陽平/陽平	ng	ng	aau	ou	4		ngaau4/ngou4		ng	aau/ou	4	aa/o	u	ŋ	a/ɔ	u	4	ŋau4/ŋɔu4	
20	襖	12987	0	ɔ	32	陰去	0		o		3		o3	懊惱。		o	3	o		ʔ	ɔ		3	ʔɔ3	
21	坳	6224	0/0	au/ɛu	32/32	陰去/陰去	0	0	aau	eu	3		aau3/eu3	山坳。文讀<br />白讀。		aau/eu	3	aa/e	u	ʔ	a/ɛ	u	3	ʔau3/ʔɛu3	
22	傲	18594	0	ɔ	21	陽去	ng		o		6		ngo6		ng	o	6	o		ŋ	ɔ		6	ŋɔ6	
23	奧	18648	0	ɔ	32	陰去	0		o		3		o3			o	3	o		ʔ	ɔ		3	ʔɔ3	
24	懊	12989	0	ɔ	32	陰去	0		o		3		o3			o	3	o		ʔ	ɔ		3	ʔɔ3	
25	八	22234	p/p	at/ɛt	33/33	下陰入/下陰入	b	b	aat	et	3		baat3/bet3	文讀<br />白讀。	b	aat/et	3	aa/e	t	p	a/ɛ	t	3	pat3/pɛt3	
26	巴	6879	p	a	53	陰平	b		aa		1		baa1		b	aa	1	aa		p	a		1	pa1	
27	芭	6883	p	a	53	陰平	b		aa		1		baa1		b	aa	1	aa		p	a		1	pa1	
28	把	13251	p	a	24	陰上	b		aa		2		baa2	把守。	b	aa	2	aa		p	a		2	pa2	
29	垻	18911	p	a	32	陰去	b		aa		3		baa3	平川。	b	aa	3	aa		p	a		3	pa3	
30	霸	18905	p	a	32	陰去	b		aa		3		baa3		b	aa	3	aa		p	a		3	pa3	
31	欛	18908	p	a	32	陰去	b		aa		3		baa3	柄。	b	aa	3	aa		p	a		3	pa3	
32	白	23424	p	ak	21	陽入	b		aak		6		baak6		b	aak	6	aa	k	p	a	k	6	pak6	
33	百	23432	p	ak	33	下陰入	b		aak		3		baak3		b	aak	3	aa	k	p	a	k	3	pak3	
34	柏	23433	p	ak	33	下陰入	b		aak		3		baak3		b	aak	3	aa	k	p	a	k	3	pak3	
35	擺	11299	p	ai	24	陰上	b		aai		2		baai2		b	aai	2	aa	i	p	a	i	2	pai2	
36	拜	16851	p	ai	32	陰去	b		aai		3		baai3		b	aai	3	aa	i	p	a	i	3	pai3	
37	敗	16900	p	ai	21	陽去	b		aai		6		baai6		b	aai	6	aa	i	p	a	i	6	pai6	
38	稗	16756	p	ɐi	21	陽去	b		ai		6		bai6		b	ai	6	a	i	p	ɐ	i	6	pɐi6	
39	扳	5000	p	an	53	陰平	b		aan		1		baan1		b	aan	1	aa	n	p	a	n	1	pan1	
40	班	4973	p	an	53	陰平	b		aan		1		baan1		b	aan	1	aa	n	p	a	n	1	pan1	
41	斑	4978	p	an	53	陰平	b		aan		1		baan1		b	aan	1	aa	n	p	a	n	1	pan1	
42	板	12093	p	an	24	陰上	b		aan		2		baan2		b	aan	2	aa	n	p	a	n	2	pan2	
43	版	12092	p	an	24	陰上	b		aan		2		baan2		b	aan	2	aa	n	p	a	n	2	pan2	
44	半	17839	p/p	ɔn/un	32/32	陰去/陰去	b	b	on	un	3		bon3/bun3		b	on/un	3	o/u	n	p	ɔ/u	n	3	pɔn3/pun3	
45	伴	12070	p	un	21	陽去	b		un		6		bun6		b	un	6	u	n	p	u	n	6	pun6	
46	絆	17840	p	un	21	陽去	b		un		6		bun6		b	un	6	u	n	p	u	n	6	pun6	
47	辦	17941	p	an	21	陽去	b		aan		6		baan6		b	aan	6	aa	n	p	a	n	6	pan6	
48	瓣	17939	p	an	21	陽去	b		aan		6		baan6		b	aan	6	aa	n	p	a	n	6	pan6	
49	邦	706	p	ɔŋ	53	陰平	b		ong		1		bong1		b	ong	1	o	ng	p	ɔ	ŋ	1	pɔŋ1	
50	浜	7793	p	ɔŋ	53	陰平	b		ong		1		bong1	一條浜。	b	ong	1	o	ng	p	ɔ	ŋ	1	pɔŋ1	
51	幫	7577	p	ɔŋ	53	陰平	b		ong		1		bong1		b	ong	1	o	ng	p	ɔ	ŋ	1	pɔŋ1	
52	蚌	10016	pʰ	ɔŋ	13	陽上	p		ong		5		pong5		p	ong	5	o	ng	pʰ	ɔ	ŋ	5	pʰɔŋ5	
53	棒	10012	pʰ	aŋ	13	陽上	p		aang		5		paang5		p	aang	5	aa	ng	pʰ	a	ŋ	5	pʰaŋ5	
54	傍	19117	p	ɔŋ	21	陽去	b		ong		6		bong6		b	ong	6	o	ng	p	ɔ	ŋ	6	pɔŋ6	
55	謗	19143	p	ɔŋ	32	陰去	b		ong		3		bong3		b	ong	3	o	ng	p	ɔ	ŋ	3	pɔŋ3	
56	包	6159	p	au	53	陰平	b		aau		1		baau1		b	aau	1	aa	u	p	a	u	1	pau1	
57	胞	6160	p/p	au/ɛu	53/53	陰平/陰平	b	b	aau	eu	1		baau1/beu1	文讀<br />白讀。	b	aau/eu	1	aa/e	u	p	a/ɛ	u	1	pau1/pɛu1	
58	褒	6363	p	ou	53	陰平	b		ou		1		bou1	褒獎。	b	ou	1	o	u	p	ɔ	u	1	pɔu1	
59	雹	20957	p	ɔk	21	陽入	b		ok		6		bok6		b	ok	6	o	k	p	ɔ	k	6	pɔk6	
60	薄	23268	p	ɔk	21	陽入	b		ok		6		bok6	薄荷、薄讀音亦同。	b	ok	6	o	k	p	ɔ	k	6	pɔk6	
61	保	12974	p	ɔ	24	陰上	b		o		2		bo2		b	o	2	o		p	ɔ		2	pɔ2	
62	堡	12977	p	ɔ	24	陰上	b		o		2		bo2		b	o	2	o		p	ɔ		2	pɔ2	
63	飽	12805	p	au	24	陰上	b		aau		2		baau2		b	aau	2	aa	u	p	a	u	2	pau2	
64	寶	12972	p	ɔ	24	陰上	b		o		2		bo2		b	o	2	o		p	ɔ		2	pɔ2	
65	抱	12880	p	ɔ	13	陽上	b		o		5		bo5		b	o	5	o		p	ɔ		5	pɔ5	
66	豹	18498	pʰ	au	32	陰去	p		aau		3		paau3		p	aau	3	aa	u	pʰ	a	u	3	pʰau3	
67	菢	18641	p	ɔ	21	陽去	b		o		6		bo6	菢小雞。	b	o	6	o		p	ɔ		6	pɔ6	
68	報	18645	p	ɔ	32	陰去	b		o		3		bo3		b	o	3	o		p	ɔ		3	pɔ3	
69	鉋	18542	pʰ	au	42	陽平	p		aau		4		paau4		p	aau	4	aa	u	pʰ	a	u	4	pʰau4	
70	暴	20253	p	ok	33	下陰入	b		uk		3		buk3		b	uk	3	u	k	p	u	k	3	puk3	
71	鮑	12846	p	au	53	陰平	b		aau		1		baau1	姓、鮑魚。	b	aau	1	aa	u	p	a	u	1	pau1	
72	爆	18501	p	au	32	陰去	b		aau		3		baau3		b	aau	3	aa	u	p	a	u	3	pau3	
73	杯	3566	p	ui	53	陰平	b		ui		1		bui1		b	ui	1	u	i	p	u	i	1	pui1	
74	卑	1093	p	ei	53	陰平	b		ei		1		bei1		b	ei	1	e	i	p	ɛ	i	1	pɛi1	
75	悲	1565	p	ei	53	陰平	b		ei		1		bei1		b	ei	1	e	i	p	ɛ	i	1	pɛi1	
76	碑	908	p	ei	53	陰平	b		ei		1		bei1		b	ei	1	e	i	p	ɛ	i	1	pɛi1	
77	北	24556	p	ak	55	上陰入	b		aak		1		baak1		b	aak	1	aa	k	p	a	k	1	pak1	
78	貝	16592	p	ui	32	陰去	b		ui		3		bui3		b	ui	3	u	i	p	u	i	3	pui3	
79	背	16950	p	ui	32	陰去	b		ui		3		bui3	背誦。	b	ui	3	u	i	p	u	i	3	pui3	
80	被	10067	pʰ	ei	13	陽上	p		ei		5		pei5	被子。	p	ei	5	e	i	pʰ	ɛ	i	5	pʰɛi5	
81	備	15122	p	ei	21	陽去	b		ei		6		bei6		b	ei	6	e	i	p	ɛ	i	6	pɛi6	
82	輩	17053	p	ui	32	陰去	b		ui		3		bui3		b	ui	3	u	i	p	u	i	3	pui3	
83	奔	4589	p	ɐn	53	陰平	b		an		1		ban1		b	an	1	a	n	p	ɐ	n	1	pɐn1	
84	本	11863	p	un	24	陰上	b		un		2		bun2		b	un	2	u	n	p	u	n	2	pun2	
85	崩	8394	p	ɐŋ	53	陰平	b		ang		1		bang1		b	ang	1	a	ng	p	ɐ	ŋ	1	pɐŋ1	
86	迸	19241	pʰ	en	32	陰去	p		ing		3		ping3	迸裂。	p	ing	3	i	ng	pʰ	i	ŋ	3	pʰiŋ3	
87	逼	24400	p	et	55	上陰入	b		ik		1		bik1		b	ik	1	i	k	p	i	k	1	pik1	
88	鼻	15284	p	ei	21	陽去	b		ei		6		bei6		b	ei	6	e	i	p	ɛ	i	6	pɛi6	
89	彼	10062	p	ei	24	陰上	b		ei		2		bei2		b	ei	2	e	i	p	ɛ	i	2	pɛi2	
90	秕	10364	p	ei	24	陰上	b		ei		2		bei2	秕子。	b	ei	2	e	i	p	ɛ	i	2	pɛi2	
91	俾	10218	p	ei	24	陰上	b		ei		2		bei2		b	ei	2	e	i	p	ɛ	i	2	pɛi2	
92	筆	21353	p	ɐt	55	上陰入	b		at		1		bat1		b	at	1	a	t	p	ɐ	t	1	pɐt1	
93	鄙	10340	pʰ	ei	24	陰上	p		ei		2		pei2		p	ei	2	e	i	pʰ	ɛ	i	2	pʰɛi2	
94	必	21252	p	it	55	上陰入	b		it		1		bit1		b	it	1	i	t	p	i	t	1	pit1	
95	庇	15299	p	ei	32	陰去	b		ei		3		bei3		b	ei	3	e	i	p	ɛ	i	3	pɛi3	
96	陛	11252	p	ɐi	21	陽去	b		ai		6		bai6	陛下。	b	ai	6	a	i	p	ɐ	i	6	pɐi6	
97	畢	21253	p	ɐt	55	上陰入	b		at		1		bat1		b	at	1	a	t	p	ɐ	t	1	pɐt1	
