id	middeng	middiao	midini	midkaihe	midshe	midyun	漢字_程序改名	IPA_程序改名	注釋_程序改名	2
1	一	平	端	開	果	歌	多	tɔ33	～少	2
2	一	平	透	開	果	歌	拖	tʰɔ33	～拉机	3
3	一	平	透	開	果	歌	他	tʰa33	其～	2
4	一	平	定	開	果	歌	駝	tʰɔ24	骆～	2
5	一	上	泥	開	果	歌	哪	na21	～吒	2
6	一	平	來	開	果	歌	羅	lɔ24	姓	1
7	一	上	精	開	果	歌	左	ʦɔ21	～右	2
8	一	平	見	開	果	歌	哥	kɔ33	大～，学生～	6
9	一	上	溪	開	果	歌	可	hɔ21	～能，许～证	6
10	一	平	疑	開	果	歌	鵝	ŋɔ24	天～	2
11	一	上	疑	開	果	歌	我	ŋɔ33	自～[文]	5
12	一	上	疑	開	果	歌	我	ŋai24	涯，第一人称[白]	9
13	一	去	疑	開	果	歌	餓	ŋɔ21	饥～	2
14	一	平	匣	開	果	歌	河	hɔ24	黄～	2
15	一	去	匣	開	果	歌	賀	hɔ52	祝～，～礼	5
17	三	平	羣	開	果	歌	茄	kʰiɛ24	茄子；番～	5
18	一	平	幫	合	果	歌	波	pɔ33	风～，～浪	5
19	一	去	滂	合	果	歌	破	pʰɔ52	～坏	2
20	一	平	並	合	果	歌	婆	pʰɔ24	老～	2
21	一	平	明	合	果	歌	磨	mɔ24	石～[名]	5
22	一	上	端	合	果	歌	朶	tɔ21	一～花，花～	6
23	一	去	泥	合	果	歌	糯	nɔ21	～米	2
24	一	上	從	合	果	歌	坐	ʦʰɔ33	～车，～稳	5
25	一	去	從	合	果	歌	座	ʦʰɔ21	～位，上～	5
26							簑	sɔ33	棕～，～衣	5
27	一	上	心	合	果	歌	鎖	sɔ21	～匙	2
28	一	上	見	合	果	歌	果	kuɔ21	水～	2
29	一	平	見	合	果	歌	過	kuɔ52	～去，～头	5
30	一	平	溪	合	果	歌	科	fɔ33	～学，文～	5
31	一	去	溪	合	果	歌	課	fɔ52	上～	2
32	一	上	曉	合	果	歌	火	fɔ21	着～，～车	5
33	一	去	曉	合	果	歌	貨	fɔ52	～车，百～	5
34	一	平	匣	合	果	歌	禾	vɔ24	割～，～苗	5
