id	ini	fn	pt	单字	漢字_程序改名	IPA_程序改名	注釋_程序改名
1	t	ɔ	33	多	tɔ33	tɔ1a	～少
2	tʰ	ɔ	33	拖	tʰɔ33	tʰɔ1a	～拉机
3	tʰ	a	33	他	tʰa33	tʰa1a	其～
4	tʰ	ɔ	213	駝	tʰɔ213	tʰɔ2	骆～
6	tʰ	ai	21	大	tʰai21	tʰai3	～夫，～黄
7	n	ɔ	213	挪	nɔ213	nɔ2	～用公款
8	n	ai	21	哪	nai21	nai3	～里
9	n	a	213	哪	na213	na2	～吒
10	n	ai	21	那	nai21	nai3	～里；姓
11	l	ɔ	213	羅	lɔ213	lɔ2	姓
12	l	ɔ	213	鑼	lɔ213	lɔ2	～鼓
13	l	ɔ	213	箩	lɔ213	lɔ2	～筐
14	ʦ	ɔ	21	左	ʦɔ21	ʦɔ3	～右
15	ʦ	ɔ	21	佐	ʦɔ21	ʦɔ3	辅～
16	k	ɔ	33	歌	kɔ33	kɔ1a	唱～，～声
17	k	ɔ	45	哥	kɔ45	kɔ1b	大～，学生～
18	k	ɔ	451	個	kɔ451	kɔ5	两～，～别
19	k	ai	451	個	kai451	kai5	我～（我的）
20	h	ɔ	21	可	hɔ21	hɔ3	～能，许～证
21	ŋ	ɔ	213	蛾	ŋɔ213	ŋɔ2	飞～扑火
22	ŋ	ɔ	45	鵝	ŋɔ45	ŋɔ1b	天～
23	ŋ	ɔ	213	俄	ŋɔ213	ŋɔ2	～罗斯
24	ŋ	ɔ	213	我	ŋɔ213	ŋɔ2	自～[文]
25	ŋ	ai	213	我	ŋai213	ŋai2	涯，第一人称[白]
26	ŋ	ɔ	21	餓	ŋɔ21	ŋɔ3	饥～
27	h	ɔ	213	荷	hɔ213	hɔ2	～花；薄～
28	h	ɔ	213	荷	hɔ213	hɔ2	挑，～担，～东西[白]
29	h	ɔ	213	河	hɔ213	hɔ2	黄～
30	h	ɔ	213	何	hɔ213	hɔ2	姓；如～
31	h	ɔ	21	賀	hɔ21	hɔ3	祝～，～礼
33	ʔ	a	33	阿	ʔa33	ʔa1a	～爸
34	kʰ	ɛ	213	茄	kʰɛ213	kʰɛ2	茄子；番～
35	k	a	33	茄	ka33	ka1a	雪～
36	p	ɔ	33	波	pɔ33	pɔ1a	风～，～浪
37	p	ɔ	45	菠	pɔ45	pɔ1b	～菜
38	p	ɛ	33	跛	pɛ33	pɛ1a	～脚（跛足）[训]
39	p	ɔi	451	簸	pɔi451	pɔi5	～箕甲（蛇），～谷
40	pʰ	ɔ	33	簸	pʰɔ33	pʰɔ1a	颠～
42	pʰ	ɔ	33	坡	pʰɔ33	pʰɔ1a	山～，～度
43	p	ɔ	33	玻	pɔ33	pɔ1a	～璃
44	pʰ	ɔ	451	破	pʰɔ451	pʰɔ5	～坏
45	pʰ	ɔ	213	婆	pʰɔ213	pʰɔ2	老～
46	pʰ	ɔk	21	薄	pʰɔk21	pʰɔk8a	～荷
47	m	ɔ	45	魔	mɔ45	mɔ1b	～术，～鬼
48	m	ɔ	213	磨	mɔ213	mɔ2	～刀，水～[动]
49	m	ɔ	213	磨	mɔ213	mɔ2	～豆浆[动]
50	m	ɔ	45	摩	mɔ45	mɔ1b	～擦，按～
51	m	ɔ	213	磨	mɔ213	mɔ2	石～[名]
52	t	ɔ	21	朶	tɔ21	tɔ3	一～花，花～
53	t	ɔ	21	躱	tɔ21	tɔ3	～避，～开
