#漢字	音標	解釋
開	f1	
灰	f1	
恢	f1	
魁	f1	
奎	f1	
凱	f3	
海	f3	
害	f5	
悔	f5	
晦	f5	
回	w2	
迴	w2	
茼	w2	
藹	w3	
煨	w4	
愛	w5	
礙	w5	
匯	w5	～报
彙	w5	～报
會	w5	～议
會	w5	～不～
會	w5	～计
外	w5	
☐	l2	～☐[li55]:二胡
☐	l8	☐[li31]~:二胡
知	tʃ1	文
蜘	tʃ1	
支	tʃ1	
肢	tʃ1	
脂	tʃ1	
之	tʃ1	
芝	tʃ1	
枝	tʃ1	
紙	tʃ3	
只	tʃ3	
隻	tʃ3	
祇	tʃ3	
～	tʃ3	
有	tʃ3	
旨	tʃ3	
指	tʃ3	
止	tʃ3	
趾	tʃ3	
址	tʃ3	
智	tʃ5	
至	tʃ5	
致	tʃ5	
緻	tʃ5	
置	tʃ5	
痔	tʃ5	
冶	tʃ5	
志	tʃ5	
誌	tʃ5	
稚	tʃ5	
痣	tʃ5	
雌	tʃʰ1	
癡	tʃʰ1	
池	tʃʰ2	
馳	tʃʰ2	
匙	tʃʰ2	
～	tʃʰ2	
羹	tʃʰ2	
：	tʃʰ2	
湯	tʃʰ2	
匙	tʃʰ2	
遲	tʃʰ2	
持	tʃʰ2	
齒	tʃʰ3	
恥	tʃʰ3	
侈	tʃʰ3	
矢	tʃʰ3	
恃	tʃʰ3	
刺	tʃʰ5	文
翅	tʃʰ5	
疵	tʃʰ8	
施	ʃ1	
師	ʃ1	
屍	ʃ1	
詩	ʃ1	
時	ʃ2	
匙	ʃ2	
配	ʃ2	
史	ʃ3	
駛	ʃ3	
使	ʃ3	文，～用
使	ʃ3	大～馆
始	ʃ3	
☐	ʃ3	～样：怎样
屎	ʃ3	
市	ʃ4	
是	ʃ5	
示	ʃ5	
視	ʃ5	
士	ʃ5	
仕	ʃ5	
試	ʃ5	
氏	ʃ5	
嗜	ʃ5	
鼓	ʃ5	
☐	ʃ5	闭（眼）
☐	ʃ8	哪（里），～处：什么地方
衣	j1	
伊	j1	
醫	j1	
姨	j2	
兒	j2	
宜	j2	
誼	j2	
儀	j2	
移	j2	
夷	j2	
而	j2	
疑	j2	
飴	j2	
倚	j3	
椅	j3	
已	j4	
以	j4	
擬	j4	
肄	j4	
爾	j4	
尔	j4	
義	j5	
議	j5	
易	j5	
意	j5	
異	j5	
异	j5	
二	j5	
貳	j5	
改	kw3	
蓋	kw5	瓶～
盖	kw5	瓶～
癐	kw5	累
該	kʰw1	应～
蓋	kʰw3	
盖	kʰw3	
～	kʰw3	
蓋	kʰw3	
盖	kʰw3	
子	kʰw3	
概	kʰw3	
溉	kʰw3	
賄	kʰw3	
潰	kʰw3	
慨	kʰw5	
丐	kʰw5	
劊	kʰw5	
檜	kʰw5	
繪	kʰw5	
枯	f1	
呼	f1	
夫	f1	
伕	f1	
膚	f1	
敷	f1	
俘	f1	
孵	f1	
麩	f1	
狐	f2	
壺	f2	
乎	f2	
胡	f2	～子
鬍	f2	～子
衚	f2	～子
湖	f2	
葫	f2	
糊	f2	
蝴	f2	
符	f2	
扶	f2	
芙	f2	
苦	f3	
虎	f3	
府	f3	
腑	f3	
俯	f3	
斧	f3	文
撫	f3	
庫	f5	
褲	f5	
戽	f5	
戶	f5	
滬	f5	
護	f5	
互	f5	
付	f5	
附	f5	
咐	f5	
赴	f5	
父	f5	
腐	f5	
輔	f5	
傅	f5	
賦	f5	
富	f5	
副	f5	
婦	f5	文
負	f5	
芋	f5	
胡	f9	二～
鬍	f9	二～
衚	f9	二～
烏	w1	
塢	w1	
污	w1	
惡	w5	可～
噁	w5	可～
姑	kw1	
孤	kw1	
辜	kw1	
古	kw3	
估	kw3	
牯	kw3	
股	kw3	
鼓	kw3	
蠱	kw3	
故	kw5	
固	kw5	
僱	kw5	
雇	kw5	
顧	kw5	
箍	kʰw1	
豬	tʃ1	
諸	tʃ1	
朱	tʃ1	
硃	tʃ1	
～	tʃ1	
砂	tʃ1	
朱	tʃ1	
硃	tʃ1	
姓	tʃ1	
氏	tʃ1	
誅	tʃ1	
蛛	tʃ1	
株	tʃ1	
守	tʃ1	
～	tʃ1	
待	tʃ1	
兔	tʃ1	
珠	tʃ1	
煮	tʃ3	
主	tʃ3	
注	tʃ5	
註	tʃ5	
蛀	tʃ5	
駐	tʃ5	
住	tʃ5	
鑄	tʃ5	
著	tʃ5	
箸	tʃ5	
除	tʃʰ2	
廚	tʃʰ2	
處	tʃʰ3	
～	tʃʰ3	
理	tʃʰ3	
署	tʃʰ4	
柱	tʃʰ4	
芒	tʃʰ4	
儲	tʃʰ4	
處	tʃʰ5	
～	tʃʰ5	
所	tʃʰ5	
書	ʃ1	
舒	ʃ1	
樞	ʃ1	
輸	ʃ1	
～	ʃ1	
顆	ʃ1	
輸	ʃ1	
運	ʃ1	
～	ʃ1	
殊	ʃ2	
瑞	ʃ2	
暑	ʃ3	
鼠	ʃ3	
樹	ʃ5	
～	ʃ5	
木	ʃ5	
庶	ʃ5	
恕	ʃ5	
戍	ʃ5	
豎	ʃ5	
於	j1	
于	j1	
在	j1	
～	j1	
於	j1	
于	j1	
姓	j1	
氏	j1	
迂	j1	
如	j2	
魚	j2	
漁	j2	
餘	j2	
余	j2	
姓	j2	
氏	j2	
餘	j2	
余	j2	
多	j2	
～	j2	
儒	j2	
囂	j2	
虞	j2	
娛	j2	
楡	j2	
愉	j2	
淤	j3	
雨	j4	
宇	j4	
羽	j4	
語	j4	
與	j4	
与	j4	
預	j4	
又	j4	
禹	j4	
譽	j5	
預	j5	
又	j5	
御	j5	
禦	j5	
～	j5	
用	j5	
御	j5	
禦	j5	
駕	j5	
～	j5	
遇	j5	
寓	j5	
逾	j5	
愈	j5	
癒	j5	
喩	j5	
裕	j5	
巴	p1	
疤	p1	
笆	p1	
芭	p1	
爸	p2	
把	p3	
～	p3	
握	p3	
霸	p5	
壩	p5	
罷	p5	
吧	p8	
酒	p8	
～	p8	
爬	ph2	
琶	ph2	
耙	ph2	
把	ph2	
怕	ph4	
☐	m1	张（嘴）
麻	m2	
痲	m2	
馬	m4	
碼	m4	
駡	m5	
媽	m8	
花	f1	
化	f5	
窪	w1	
洼	w1	
蛙	w1	
華	w2	
