#漢字	音標	解釋
疲	pi2	
脾	pi2	
琵	pi2	
枇	pi2	
肥	pi2	
被	pi4	~子,~窝
婢	pi4	
被	pi6	~打,~迫
避	pi6	
備	pi6	
鼻	pi6	
披	pʰi1	
譬	pʰi5	
屁	pʰi5	
碑	ɓi1	
卑	ɓi1	
悲	ɓi1	
彼	ɓi3	
俾	ɓi3	
鄙	ɓi3	
比	ɓi3	
臂	ɓi5	
祕	ɓi5	
秘	ɓi5	
泌	ɓi5	
庇	ɓi5	
痹	ɓi5	
糜	mi2	
彌	mi2	
瀰	mi2	
弥	mi2	
眉	mi2	
楣	mi2	
媚	mi2	
微	mi2	
靡	mi4	
美	mi4	
尾	mi4	
眯	mi5	
□	mi5	没入（水中）
寐	mi6	
未	mi6	
味	mi6	
斯	fi1	
廝	fi1	
撕	fi1	
私	fi1	
俬	fi1	
司	fi1	
絲	fi1	
思	fi1	
瓷	fi2	
餈	fi2	
糍	fi2	
慈	fi2	
磁	fi2	
辭	fi2	
詞	fi2	
祠	fi2	
死	fi3	
似	fi4	
祀	fi4	
巳	fi4	
四	fi5	
肆	fi5	
自	fi6	
字	fi6	
牸	fi6	
寺	fi6	
嗣	fi6	
飼	fi6	
資	ti1	
姿	ti1	
諮	ti1	
咨	ti1	
茲	ti1	
兹	ti1	
滋	ti1	
紫	ti3	
姊	ti3	
子	ti3	
梓	ti3	
地	ti6	
此	tʰi3	
刺	tʰi5	
賜	tʰi5	
次	tʰi5	
廁	tʰi5	
哋	ɗi1	
黏	ni1	
□	ni1	粘住
尼	ni2	
擬	ni3	
你	ni4	
膩	ni6	
璃	li1	
籬	li2	
離	li2	
离	li2	
梨	li2	
釐	li2	
厘	li2	
狸	li2	
□	li3	撕；拔
李	li4	
裏	li4	一~路
里	li4	一~路
裡	li4	一~路
理	li4	
鯉	li4	
利	li6	
痢	li6	
知	tsi1	
蜘	tsi1	
支	tsi1	
枝	tsi1	
肢	tsi1	
梔	tsi1	
脂	tsi1	
之	tsi1	
芝	tsi1	
紙	tsi3	
只	tsi3	~有
隻	tsi3	~有
祇	tsi3	~有
旨	tsi3	
指	tsi3	
止	tsi3	
趾	tsi3	
址	tsi3	
智	tsi5	
致	tsi5	
緻	tsi5	
稚	tsi5	
至	tsi5	
痔	tsi5	
置	tsi5	
誌	tsi5	
志	tsi5	
誌	tsi5	
痣	tsi5	
治	tsi6	
差	tsʰi1	参~
眵	tsʰi1	
癡	tsʰi1	
嗤	tsʰi1	
侈	tsʰi3	
恥	tsʰi3	
齒	tsʰi3	
始	tsʰi3	
翅	tsʰi5	
兒	ȵi1	
倪	ȵi2	
而	ȵi2	
疑	ȵi2	
議	ȵi3	
爾	ȵi4	
尔	ȵi4	
耳	ȵi4	
誼	ȵi6	
二	ȵi6	
貳	ȵi6	
餌	ȵi6	
施	si1	
師	si1	
獅	si1	
屍	si1	
詩	si1	
池	si2	
馳	si2	
匙	si2	
遲	si2	
持	si2	
時	si2	
矢	si3	
屎	si3	
使	si3	
史	si3	
駛	si3	
是	si4	
氏	si4	
士	si4	
仕	si4	
柿	si4	
俟	si4	
市	si4	
恃	si4	
試	si5	
豉	si6	
示	si6	
視	si6	
嗜	si6	
事	si6	
侍	si6	
飢	ki1	
饑	ki1	
肌	ki1	
幾	ki1	~乎
几	ki1	~乎
基	ki1	
幾	ki1	~乎
几	ki1	~乎
機	ki1	
譏	ki1	
奇	ki2	
騎	ki2	
岐	ki2	
其	ki2	
棋	ki2	
期	ki2	
旗	ki2	
祈	ki2	
己	ki3	
紀	ki3	
杞	ki3	
幾	ki3	~个
几	ki3	~个
企	ki4	
徛	ki4	
寄	ki5	
冀	ki5	
記	ki5	
既	ki5	
技	ki6	
妓	ki6	
鰭	ki6	
忌	ki6	
犧	hi1	
欺	hi1	
嬉	hi1	
煕	hi1	
希	hi1	
稀	hi1	
起	hi3	
喜	hi3	
豈	hi3	
戲	hi5	
器	hi5	
棄	hi5	
弃	hi5	
氣	hi5	
气	hi5	
汽	hi5	
伊	∅i1	
姨	∅i1	
醫	∅i1	
衣	∅i1	
依	∅i1	
宜	∅i2	
儀	∅i2	
移	∅i2	
夷	∅i2	
姨	∅i2	
倚	∅i3	
椅	∅i3	
已	∅i4	
以	∅i4	
意	∅i5	
義	∅i6	
易	∅i6	难~
異	∅i6	
异	∅i6	
蒲	pu2	
菩	pu2	
脯	pu2	胸~
符	pu2	
扶	pu2	
芙	pu2	
袍	pu2	
簿	pu4	
抱	pu4	
□	pu4	粥面上飘的气泡
斧	pu5	
部	pu6	
步	pu6	
孵	pu6	
暴	pu6	
抱	pu6	孵,~小鸡
曝	pu6	
瀑	pu6	
腐	pu6	豆~，~乳
鋪	pʰu1	~设
譜	pʰu3	
普	pʰu3	
浦	pʰu3	
捕	pʰu3	
甫	pʰu3	
脯	pʰu3	杏~
鋪	pʰu5	店~
煲	ɓu1	
補	ɓu3	
保	ɓu3	
堡	ɓu3	
寶	ɓu3	
布	ɓu5	
佈	ɓu5	
佈	ɓu5	
怖	ɓu5	
報	ɓu5	
蟆	mu1	
模	mu1	~范
模	mu1	~范
摹	mu1	
無	mu2	
毛	mu2	
舞	mu3	动词
武	mu4	
舞	mu4	
侮	mu4	
鵡	mu4	
母	mu4	
拇	mu4	
暮	mu6	
慕	mu6	
墓	mu6	
募	mu6	
務	mu6	
霧	mu6	
冒	mu6	
帽	mu6	
戊	mu6	
蘇	fu1	
甦	fu1	
囌	fu1	
酥	fu1	
敷	fu1	
俘	fu1	
騷	fu1	
臊	fu1	
乎	fu2	
符	fu2	
曹	fu2	
撫	fu3	
輔	fu3	
嫂	fu3	
父	fu4	
釜	fu4	
傅	fu4	
造	fu4	
婦	fu4	
素	fu5	
訴	fu5	
塑	fu5	
庫	fu5	
掃	fu5	
腐	fu6	~败
付	fu6	
賦	fu6	
赴	fu6	
訃	fu6	
附	fu6	
負	fu6	
副	fu6	
租	tu1	
遭	tu1	
糟	tu1	
徒	tu2	
屠	tu2	
途	tu2	
塗	tu2	
涂	tu2	
圖	tu2	
桃	tu2	
逃	tu2	
淘	tu2	
陶	tu2	
萄	tu2	
濤	tu2	
祖	tu3	
組	tu3	
早	tu3	
棗	tu3	
蚤	tu3	
肚	tu4	腹~
導	tu4	
做	tu5	
(	tu5	
作	tu5	
)	tu5	
竈	tu5	
杜	tu6	
妒	tu6	
度	tu6	
渡	tu6	
鍍	tu6	
道	tu6	
稻	tu6	
盜	tu6	
粗	tʰu1	
吐	tʰu1	~痰
滔	tʰu1	
掏	tʰu1	
操	tʰu1	
糙	tʰu1	
土	tʰu3	
討	tʰu3	
草	tʰu3	
吐	tʰu5	呕~
兔	tʰu5	
醋	tʰu5	
措	tʰu5	
套	tʰu5	
躁	tʰu5	
都	ɗu1	~是
都	ɗu1	~是
刀	ɗu1	
叨	ɗu1	
堵	ɗu3	
賭	ɗu3	
肚	ɗu3	牛~
禱	ɗu3	
島	ɗu3	
倒	ɗu3	~水
倒	ɗu3	~水
到	ɗu5	
奴	nu2	
□	nu3	哪里
努	nu4	
□	nu5	哪里
怒	nu6	
□	lu1	谋生计
盧	lu2	
爐	lu2	
蘆	lu2	
鸕	lu2	
廬	lu2	
勞	lu2	
牢	lu2	
嘮	lu2	
魯	lu4	
櫓	lu4	
虜	lu4	
滷	lu4	
鹵	lu4	
卤	lu4	
老	lu4	
路	lu6	
賂	lu6	
露	lu6	
鷺	lu6	
姑	ku1	
孤	ku1	
髙	ku1	
膏	ku1	
羔	ku1	
糕	ku1	
膏	ku1	
古	ku3	
估	ku3	
牯	ku3	
股	ku3	
鼓	ku3	
稿	ku3	
故	ku5	
固	ku5	
錮	ku5	
僱	ku5	
雇	ku5	
顧	ku5	
吿	ku5	
犒	ku5	
箍	kʰu1	
枯	kʰu1	
酷	kʰu1	
熬	ŋu2	
熬	ŋu6	~白菜
傲	ŋu6	
好	hu3	~坏
蒿	hu5	
蓬	hu5	
蒿	hu5	
好	hu5	喜~
耗	hu5	
呼	∅u1	
烏	∅u1	
污	∅u1	
塢	∅u1	
夫	∅u1	
伕	∅u1	
膚	∅u1	
巫	∅u1	
誣	∅u1	
胡	∅u2	
鬍	∅u2	
衚	∅u2	
湖	∅u2	
狐	∅u2	
壺	∅u2	
葫	∅u2	
豪	∅u2	
壕	∅u2	
毫	∅u2	
苦	∅u3	
虎	∅u3	
滸	∅u3	
府	∅u3	
腑	∅u3	
俯	∅u3	
戶	∅u4	
滬	∅u4	
褲	∅u5	
戽	∅u5	
奧	∅u5	
懊	∅u5	
富	∅u5	
互	∅u6	
護	∅u6	
瓠	∅u6	
惡	∅u6	恨，可~
噁	∅u6	恨，可~
芋	∅u6	
號	∅u6	~数
浩	∅u6	
號	∅u6	~数
須	fy1	
鬚	fy1	
需	fy1	
徐	fy2	
儲	fy4	
序	fy4	
敍	fy4	
緖	fy4	
聚	fy4	
□	fy5	袖子或头发等沾到水里、饭菜里、地面上等
趨	ty1	
蛆	tʰy1	
取	tʰy3	
娶	tʰy3	
趣	tʰy5	
□	ɗy3	眼睛水肿
□	ɗy5	蛰，被蜜蜂蛰
驢	ly2	
裏	ly3	~面
里	ly3	~面
裡	ly3	~面
呂	ly4	
呂	ly4	
