#漢字	音標	解釋
多	tɔ1	～少
拖	tsʰɔ1	～拉机
駝	tʰɔ9	骆～
舵	tʰɔ9	～手
大	tʰai3	～夫，～黄
挪	na9	～用公款
哪	nai9	～里
那	ti9	白读
羅	lɔ9	姓
鑼	lɔ9	～鼓
籮	lɔ9	～筐
□	kia1	辅佐
歌	kɔ1	唱～，～声
哥	kɔ5	大～，学生～
個	kai5	我～（我的）
可	hɔ3	～能，许～证
蛾	ŋɔ9	飞～扑火
鵝	ŋɔ9	天～
俄	ŋɔ9	～罗斯
我	ŋɔ1	自～[文]
我	ŋai9	涯，第一人称[白]
餓	ŋɔ3	饥～
荷	hɔ9	～花；薄～
担	tam1	挑，～担，～东西[白]
河	hɔ9	黄～
何	hɔ9	姓；如～
賀	hɔ3	祝～，～礼
阿	ʔɔ1	～胶；～弥陀佛
阿	ʔa1	～爸
茄	kʰiœ9	茄子；番～
茄	kʰiœ9	雪～
波	pɔ1	风～，～浪
菠	pɔ1	～菜
跛	pɛ1	～脚（跛足）[训]
簸	pɔ5	～箕甲（蛇），～谷
簸	pɔ5	颠～
坡	pʰɔ1	山～，～度
玻	pɔ1	～璃
破	pʰɔ5	～坏
婆	pʰɔ9	老～
薄	pʰɔk1	～荷
魔	mɔ1	～术，～鬼
磨	nɔ2	～刀，水～[动]
□	lɔŋ9	磨(豆浆)[动]
□	ɬa9	摩擦
□	lɔŋ9	石磨[名词]
□	kʰɔŋ1	一朵花，花朵
□	san3	～避，～开
斬	tsam3	～猪肉，～肉丸
啱	ŋam1	～当
橢	tʰɔ9	～圆
唾	sɐi2	～弃，～液
惰	tʰɔ3	～性
糯	nɔ3	～米
騾	lɔ9	
螺	lɔ9	田～
腡	vɔ1	手指纹
囉	lɔ5	喽～，～嗦
裸	kɔ3	～体
銼	tʰɔ9	～刀
坐	tsʰɔ1	～车，～稳
座	tsʰɔ3	～位，上～
簑	ɬɔ1	棕～，～衣
梭	ɬɔ1	穿～，～子蟹
唆	sɔ9	～使
鎖	ɬɔ3	～匙
瑣	ɬɔ3	～碎，烦～
戈	kʰɔ1	干～，～壁
果	kɔ3	水～
裹	kɔ3	包～
過	kɔ5	～去，～头
科	kʰɔ1	～学，文～
棵	tʰɐi9	一～树
顆	nɐm3	一～珍珠，～粒
課	kʰɔ5	上～
□	fa5	讹诈
臥	ɬɔ3	训读：～室，～铺
火	fɔ3	着～，～车
夥	fɔ3	合～，～计
貨	fɔ5	～车，百～
和	fɔ9	～平，～气[文]
和	vɔ9	～尚[白]
禾	vɔ9	割～，～苗
禍	vɔ3	大～临头，～害
和	fɔ9	唱～，～诗
倭	vɔ1	～寇
窩	vɔ1	～囊废，～藏
瘸	kʰiœ9	不灵活，～手，～脚
靴	fɔ5	皮～
巴	pa1	～掌，～结，～黎
芭	pa1	～蕉，～蕾
疤	pa1	伤～
把	pa3	～握，～脉
霸	pa3	恶～，～王
壩	pɔ3	堤，溪～
吧	pa1	酒～
垻	pɔk7	平地，湖洋～
爸	pa3	爸爸
□	kʰɔ9	害怕，惊～
巾	kɐn1	手～
□	ɬɔ1	～树
琶	pʰa2	琵～
杷	pʰa2	枇～
耙	pʰa2	犁耙
麻	ma9	天～，～烦
痲	ma2	出～（得痳疹），～风
□	nɐn5	妈妈
馬	ma1	骑～，～虎
碼	ma1	～头，大～
罵	ma3	～人
拿	na2	～手，推～
茶	tsʰa2	～叶
楂	tsa1	山～
渣	tsa1	药～
詐	tsa3	～骗
榨	tsa3	～菜，～油
炸	tsa3	～药
叉	tsʰa1	刀～，～腰
杈	tsa1	桠～，树～
差	tsʰa1	～别
岔	tsʰa1	～路，三～路口
査	tsʰa9	调～
沙	ɬa1	泥～，～漠
紗	ɬa1	～布
灑	ɬa3	～水
廈	ha3	偏廈（厢房）
痧	ɬa1	发～，刮～
家	ka1	老～，～庭
砂	ɬa1	朱～，～纸
加	ka1	～工
痂	ka1	结～
嘉	ka1	～宾
假	ka3	真～，～设
賈	ka3	姓，～宝玉
假	ka3	放～，～期
架	ka5	书～
駕	ka3	～驶证
嫁	ka3	～人
稼	ka3	庄～，邓～先
