#漢字	音標	解釋
阿	ʔa5	阿哥。<br />阿膠
阿	ʔɔ1	阿哥。<br />阿膠
哀	ʔɔi1	
埃	ʔai1	塵埃。
矮	ʔɐi3	
藹	ʔɔi3	和藹。
艾	ŋai6	
隘	ʔai5	
愛	ʔɔi1	
礙	ŋɔi6	
安	ʔɔn1	
庵	ʔɔm1	
鞍	ʔɔn1	
揞	ʔɐm3	揞住。
岸	ŋɔn6	
按	ʔɔn5	
案	ʔɔn5	
暗	ʔɔm5	
昂	ŋɔŋ2	
熬	ŋau2	
熬	ŋɔu2	
襖	ʔɔ5	懊惱。
坳	ʔau5	山坳。文讀<br />白讀。
坳	ʔɛu5	山坳。文讀<br />白讀。
傲	ŋɔ6	
奧	ʔɔ5	
懊	ʔɔ5	
八	pat7b	文讀<br />白讀。
八	pɛt7b	文讀<br />白讀。
巴	pa1	
芭	pa1	
把	pa3	把守。
垻	pa5	平川。
霸	pa5	
欛	pa5	柄。
白	pak8	
百	pak7b	
柏	pak7b	
擺	pai3	
拜	pai5	
敗	pai6	
稗	pɐi6	
扳	pan1	
班	pan1	
斑	pan1	
板	pan3	
版	pan3	
半	pɔn5	
半	pun5	
伴	pun6	
絆	pun6	
辦	pan6	
瓣	pan6	
邦	pɔŋ1	
浜	pɔŋ1	一條浜。
幫	pɔŋ1	
蚌	pʰɔŋ4	
棒	pʰaŋ4	
傍	pɔŋ6	
謗	pɔŋ5	
包	pau1	
胞	pau1	文讀<br />白讀。
胞	pɛu1	文讀<br />白讀。
褒	pɔu1	褒獎。
雹	pɔk8	
薄	pɔk8	薄荷、薄讀音亦同。
保	pɔ3	
堡	pɔ3	
飽	pau3	
寶	pɔ3	
抱	pɔ4	
豹	pʰau5	
菢	pɔ6	菢小雞。
報	pɔ5	
鉋	pʰau2	
暴	puk7b	
鮑	pau1	姓、鮑魚。
爆	pau5	
杯	pui1	
卑	pɛi1	
悲	pɛi1	
碑	pɛi1	
北	pak7a	
貝	pui5	
背	pui5	背誦。
被	pʰɛi4	被子。
備	pɛi6	
輩	pui5	
奔	pɐn1	
本	pun3	
崩	pɐŋ1	
逬	pʰiŋ5	迸裂。
逼	pik7a	
鼻	pɛi6	
彼	pɛi3	
秕	pɛi3	秕子。
俾	pɛi3	
筆	pɐt7a	
鄙	pʰɛi3	
必	pit7a	
庇	pɛi5	
陛	pɐi6	陛下。
畢	pɐt7a	
閉	pɐi5	
敝	pɐi6	
婢	pʰɛi4	
弼	pɐt8	
蓖	pɛi1	蓖麻。
痹	pɛi5	麻痺。
碧	pik7a	
蔽	pɐi5	
弊	pɐi6	
幣	pɐi6	
壁	pɛk7b	白讀。<br />文讀
壁	pik7b	白讀。<br />文讀
避	pɛi6	
斃	pɐi6	
臂	pɛi5	
璧	pik7a	
蝙	pʰin1	
鞭	pin1	
邊	pin1	
扁	pin3	
匾	pin3	
貶	pin3	
汴	pin6	
便	pʰin2	便宜。
遍	pʰin5	一遍、遍地讀音亦同。
辨	pin6	
辮	pin1	
辯	pin6	
變	pin5	
彪	piu1	
標	piu1	
表	piu3	
鰾	piu1	
鱉	pit8	
別	pit8	離別。
彬	pɐn1	
賓	pɐn1	
檳	pɐn1	檳榔。
殯	pɐn5	
鬢	pɐn5	
冰	piŋ1	
兵	piŋ1	
丙	piŋ3	
秉	piŋ3	
柄	piŋ3	
稟	pɐn3	
餠	pɛŋ3	
並	piŋ6	
病	pɛŋ6	
波	pɔ1	
玻	pɔ1	玻璃。
剝	mɔk7a	
缽	pɔt7b	
缽	put7b	
鉢	pɔt7b	
鉢	put7b	
撥	pɔt8	
撥	put8	
餑	put8	麵餑。
伯	pak7b	
帛	pak8	
泊	pɔk8	梁山泊。
勃	put8	
