#漢字	音標	解釋
一	jet7	数字
七	tsʰet7	数字
七	ʦʰet7	数字
丈	tsʰɔŋ3	三丈
丈	ʦʰɔŋ3	三丈
上	sɔŋ1	~山[动];~背[方位];~海(地名);～山[动];～背[方位]；～海（地名）
下	ha1	~背，底~;~降，~流;～背，底～;～降，～流
不	pet7	~过;～过
且	tɕʰia3	而~，况~
且	ʨʰia3	而～，况～
世	sɛ5	~界;～界
丙	piaŋ3	天干，甲乙丙丁
丟	tɛu1	~失;～失
串	tʃʰuan5	一~，~通
串	ʧʰuan5	一～，～通
丸	van2	肉~，药~;肉～，药～
主	tɕy3	~人，地~
主	ʨy3	～人，地～
乖	kuai1	小孩听话
乙	jat7	天干，甲乙丙丁
九	kɛu3	数字，~龙;数字，～龙
乾	kʰien2	~坤，~隆;～坤，～隆
亁	kɔn1	烘~，饼~;烘～，饼～
亂	luan3	混~;混～
了	liau3	~结;明~，~解;～结；明～，～解
二	ȵi5	数字
五	ŋ3	数字
五	ŋ̍3	数字
井	tɕiaŋ3	~水，~~有条
井	ʨiaŋ3	～水，～～有条
亡	mɔŋ2	死~;死～
交	kau1	~通，~钱[文];～通，～钱[文]
人	ȵen2	老~，~民;老～，～民
仁	ȵen2	~义;～义
仇	sɛu2	~人，报~;～人，报～
介	kai5	~绍，中~;～绍，中～
他	tʰa1	其~;其～
仙	ɬian1	神~;神～
代	tʰɔi3	~替，~表;～替，～表
令	lən3	命~，口~;命～，口～
以	ji5	可~，~为;可～，～为
仰	ȵiɔŋ1	~视;～视
件	kʰien3	事~;事～
任	ȵiem3	姓;责~，~何;姓；责～，～何
份	fen3	~量;～量
休	ɕɛu1	~息，退~;～息，退～
位	vei3	座~，~置;座～，～置
低	tɛ1	高~;高～
住	tɕʰy3	~宿
住	ʨʰy3	～宿
佔	tʃam5	~领，~地方
佔	ʧam5	～领，～地方
佛	fet7	拜~;拜～
作	tsɔk7	工~，种~
作	ʦɔk7	工～，种～
佢	ki2	他，第三人称
來	lɔi2	过~，~去;过～，～去
例	liɛ3	举~，~外;举～，～外
便	pʰian2	方~;方～
便	pʰian3	~宜;～宜
係	hɛ5	是[白]
俊	tsen5	英~
俊	ʦen5	英～
俗	tsʰuk8	风~
俗	ʦʰuk8	风～
信	ɬen5	相~;相～
修	ɬɛu1	装~，~正;装～，～正
倉	tsʰɔŋ1	~库
倉	ʦʰɔŋ1	～库
借	tɕia5	~钱
借	ʨia5	～钱
假	ka3	真~，~设;真～，～设
偉	vei3	~大;～大
做	tʃɔ5	~好事
做	ʧɔ5	～好事
停	tʰɛn2	~止;～止
健	kian3	~康;～康
偸	tʰɛ1	小~;小～
傑	kiɛt7	~出;～出
催	tʃʰɔi1	~促，~眠
催	ʧʰɔi1	～促，～眠
傳	tɕʰiɛn2	~达，流~
傳	ʨʰiɛn2	～达，流～
傷	sɔŋ1	受~;受～
傻	sɔ2	~瓜，~子;～瓜，～子
傾	kʰɛn1	~向，左~;～向，左～
像	tɕiɔŋ3	好~，相~
像	ʨiɔŋ3	好～，相～
僥	hiau1	~幸;～幸
儀	ȵi3	礼~，~式;礼～，～式
儉	kiam3	勤~;勤～
允	jen3	~许;～许
兄	suŋ1	~弟;～弟
充	tsʰuŋ1	~分，冒~
充	ʦʰuŋ1	～分，冒～
先	ɬian1	祖~，~进，~生;祖～，～进，～生
光	kuɔŋ1	阳~，~明;阳～，～明
克	hᴇt7	~服，攻~;～服，攻～
免	mian1	难~，~除;难～，～除
兒	ji2	~童;～童
兜	tɛ1	~风;～风
入	jɛp5	~门，进~;～门，进～
內	nɛ3	~行，~外;～行，～外
全	tɕʰuan2	~部，安~
全	ʨʰuan2	～部，安～
兩	liɔŋ1	半斤八~;半斤八～
兩	liɔŋ3	~个;～个
八	bat7	数字
公	kuŋ1	~安，办~;～安，办～
六	luk7	数字
共	kʰuŋ3	一~，~同;一～，～同
兵	pən1	当~;当～
具	kʰi3	~体;～体
典	tien3	~型，词~;～型，词～
兼	kiam1	~职;～职
冊	tʃʰak7	两~，~封
冊	ʧʰak7	两～，～封
再	tsai5	~来
再	ʦai5	～来
冰	pɛn1	结~，~箱;结～，～箱
冷	laŋ1	~热，~清;～热，～清
凉	liɔŋ2	天～
凍	laŋ1	冰~，~伤;冰～，～伤
凡	fam2	平~;平～
凳	tɛn5	凳子
出	tsʰet7	~入，~发
