#漢字	音標	解釋
㪗	tɐi3	～夜（过夜）
㪗	tʰɐi3	~气(呼吸);～气（呼吸）
㵺	pʰai2	竹排
一	jɐt8a	数字
丁	tɐn1a	天干;姓;天干；姓
七	tsʰɐt8a	数字
七	ʦʰɐt8a	数字
丈	tsʰɔŋ3	姑~
丈	tʰɔŋ3	三丈
丈	ʦʰɔŋ3	姑～
三	ɬam1a	~国;～国
上	sɔŋ1a	~山[动];安上，~灯，~灯泡;~背[方位];~海(地名);～山[动];安上，～灯，～灯泡;～背[方位]；～海（地名）
上	sɔŋ3	桌~，床~;桌～，床～
下	ha1a	取下，~下来;取下，～下来
下	ha3	~背，底~;~降，~流;～背，底～;～降，～流
不	pɐt8a	~过;～过
丐	kɔi5	~帮;～帮
丑	tsʰiu3	地支，子丑寅卯
丑	ʦʰiu3	地支，子丑寅卯
且	tsʰia3	而~，况~
且	ʦʰia3	而～，况～
丕	pʰi1a	人名用字，曹~;人名用字，曹～
世	sɛ5	~界;出~;～界;出～
丘	hɐi1a	一~田;姓;一～田
丙	pian3	天干，甲乙丙丁
丞	sɐn2	~相;～相
丟	tiu1a	扔弃;~失;丢，扔;～失
並	pʰɐn5	~且，~排;～且，～排
丫	ʔa1b	~鬟，~头;～鬟，～头
中	tsoŋ1a	~间，~秋[文];~央;头顶物，~头帕[白]
中	tsoŋ5	射~，~状元
中	ʦoŋ1a	～间，～秋[文];～央；头顶物，～头帕[白]
中	ʦoŋ5	射～，～状元
串	tsʰɔn5	一~，~通
串	ʦʰɔn5	一～，～通
丸	jan2	肉~，药~;肉～，药～
丹	tan1a	牡~，仙~;牡～，仙～
主	tsy3	~人，地~
主	ʦy3	～人，地～
乃	nai1a	安~近;人名用字;安～近；人名用字
久	kiu1a	长~;长～
之	tsia1a	~前
之	ʦia1a	～前
乎	fu2	在~;在～
乏	fan3	缺~;缺～
乖	kai1a	小孩听话
乘	sɐn2	~机，~车;加减乘除;～机，～车
乙	jɐt8a	天干，甲乙丙丁
九	kiu1a	数字，~龙;数字，～龙
乞	hɐt8a	~食，~求;～食，～求
也	ja5	~知;～知
乳	ȵui3	哺~，母~[文];哺～，母～[文]
乳	ȵɐp7	食~(吃奶)，麦~精[训];食～（吃奶），麦～精[训]
乸	ma2	雌性
乾	kʰian2	~坤，~隆;～坤，～隆
亁	kɔn1a	烘~，饼~;烘～，饼～
亂	luɔn3	混~;混～
了	liau3	~结;明~，~解;～结；明～，～解
予	jy3	给~;给～
事	sia3	做~[白];做～[白]
事	tsia3	~实，~情[文]
事	ʦia3	～实，～情[文]
二	ȵi5	数字
于	jy1a	姓;等~;姓；等～
云	vɐn2	古人～
互	fu5	~相;～相
五	ʔŋ̍3	数字
井	tsian3	~水，~~有条
井	ʦian3	～水，～～有条
些	tiɐt7	一~
亞	ʔa1a	~洲，~军;～洲，～军
亡	mɔn2	死~;死～
交	kau1a	~通，~钱[文];～通，～钱[文]
交	kau1b	交叉，~脚(翘二郎腿)[白];交叉，～脚（翘二郎腿）[白]
亥	hɔi3	辛~革命;辛～革命
亦	jiɐt8a	~可以;～可以
亨	hɐn1a	~通;~特(人名);～通；～特（人名）
享	sɔŋ3	~受，分~;～受，分～
京	kiɐn1a	北~，~剧;北～，～剧
亭	tʰɐn2	凉~;凉～
亮	liœŋ5	明~;明～
人	ȵɐn2	老~，~民;老～，～民
仁	ȵɐn2	~义;～义
仆	pʰɔk8a	倒下
仇	siu2	~人，报~;姓;～人，报～
今	kɐm1a	~日，~年，现~[文];~日，~年[白];～日，～年，现～[文];～日，～年[白]
介	kai5	~绍，中~;～绍，中～
仍	ȵɐn2	~然;～然
仕	sia3	~途;～途
他	tʰa1a	其~;其～
仗	tsɔŋ5	打~;炮~(鞭炮)
仗	ʦɔŋ5	打～；炮～（鞭炮）
付	fu5	应~;应～
仙	ɬian1a	神~;神～
代	tʰɔi3	~替，~表;～替，～表
令	liɐn1a	命~，口~;命～，口～
以	jy5	可~，~为;可～，～为
仰	ŋɔn1a	~视;～视
仲	tsʰoŋ3	伯~叔;杜~(中药)
仲	ʦʰoŋ3	伯～叔；杜～（中药）
件	kʰian3	事~;事～
任	ȵɐm3	姓;责~，~何;姓；责～，～何
份	fɐn3	~量;～量
仿	fɔn3	~照，相~;～照，相～
企	kʰi1a	~业，~鹅;～业，～鹅
伊	ji1a	~犁;姓;～犁；姓
伍	ʔŋ̍3	姓;队~;姓；队～
伏	fok8a	三~，起~[文];三～，起～[文]
伏	pʰok7	趴，在桌子上趴着睡[白]
伐	fæk8a	讨~，~木工人;讨～，～木工人
休	hɐi1a	~息，退~;～息，退～
伯	pæk8a	大~;大～
估	kʰu1a	~计;～计
伴	pan5	~随，伙~[文];做~，冇~[白];～随，伙～[文];做～，冇～[白]
伶	liɐn2	聪明~俐[文];~俐(干净)[白];聪明～俐[文];～俐（干净）[白]
伸	sɐn1a	~展，延~[文];～展，延～[文]
伸	tsɐn1a	~手[白]
伸	ʦɐn1a	～手[白]
伺	ɬia3	~候，~机而动;～候，～机而动
似	tsʰi5	相~，~乎[文];好~(好像)[白]
似	ʦʰi5	相～，～乎[文];好～（好像）[白]
但	tan5	~係(但是)，不~;～係（但是），不～
佈	pu5	公~，~置;公～，～置
位	vɐi3	座~，~置;座～，～置
低	tʰɛ1a	高~;高～
住	tsʰy3	~宿
住	ʦʰy3	～宿
佐	tsɔ3	辅~
佐	ʦɔ3	辅～
佔	tsam5	~领，~地方
佔	ʦam5	～领，～地方
何	hɔ2	姓;如~;姓；如～
余	jy2	姓
佛	fɐt8a	拜~;拜～
作	tsɔk8a	工~，种~
作	ʦɔk8a	工～，种～
你	ȵi2	~们，第二人称[文];第二人称[白];～们，第二人称[文]
佢	kʰy3	他，第三人称
佩	pʰei5	~服;～服
佳	kai1a	~人，~节;～人，～节
使	sia5	~用，假~，大~馆;～用，假～，大～馆
來	lɔi2	过~，~去;过～，～去
侈	kʰi1a	奢~;奢～
例	lɛ1a	举~，~外;举～，～外
侍	sia3	服~，~卫;服～，～卫
供	koŋ1a	提~，~应;~细人(生小孩);提～，～应;～细人（生小孩）
依	ji1a	~靠;～靠
侮	mu3	~辱;～辱
侯	hɐi2	姓;诸侯;姓；诸侯
侵	tsʰɐm1a	~略
侵	ʦʰɐm1a	～略
便	pʰian2	~宜;～宜
便	pʰian3	方~;方～
係	hɐi5	关~[文];是[白];关～[文]
促	tsok8a	督~，~进
促	ʦok8a	督～，～进
俄	ŋɔ2	~罗斯;～罗斯
俊	tsun5	英~
俊	ʦun5	英～
俏	tsʰiau5	俊~
俏	ʦʰiau5	俊～
俗	tsʰok8a	风~
俗	ʦʰok8a	风～
俘	fu1a	~虏;～虏
保	pɔ1a	~护;～护
俠	hiɛp8a	武~;武～
信	ɬɐn5	相~;相～
修	ɬiu1a	装~，~正;装～，～正
俯	fu3	~卧撑，~视;～卧撑，～视
俸	foŋ3	~禄，薪~;～禄，薪～
倂	pʰɐn5	合~;合～
倉	tsʰɔn1a	~库
倉	ʦʰɔn1a	～库
個	kai5	我~(我的);我～（我的）
個	kɔ5	两~，~别;两～，～别
倍	pʰɔi3	~数;～数
倒	tɔ3	颠~;~水，~退;颠～;～水，～退
倔	kʰɐt8a	~强;～强
倘	tʰɔn3	~使;～使
候	hɐi3	~车室，等~;～车室，等～
倚	ji3	~靠，~老卖老;～靠，～老卖老
借	tsia5	~钱
借	ʦia5	～钱
倡	tsʰɔŋ1a	提~
